item,count,percentage
1001,56,7.71
1006,12,1.65
1011,33,4.55
1026,2,0.28
1028,75,10.33
1029,38,5.23
1031,14,1.93
1033,16,2.2
1036,87,11.98
1037,30,4.13
1038,11,1.52
1041,4,0.55
1042,47,6.47
1043,48,6.61
1051,3,0.41
1053,79,10.88
1054,69,9.5
1055,221,30.44
1057,2,0.28
1058,1,0.14
1083,2,0.28
1400,3,0.41
1401,1,0.14
1412,3,0.41
1413,3,0.41
1416,109,15.01
1419,44,6.06
2003,26,3.58
2010,3,0.41
2015,2,0.28
2031,97,13.36
2032,1,0.14
2033,1,0.14
2049,2,0.28
2053,4,0.55
2055,10,1.38
2140,1,0.14
2303,1,0.14
3006,53,7.3
3009,16,2.2
3022,29,3.99
3026,24,3.31
3031,7,0.96
3033,1,0.14
3035,2,0.28
3036,1,0.14
3044,48,6.61
3046,77,10.61
3047,427,58.82
3052,14,1.93
3053,12,1.65
3057,3,0.41
3065,119,16.39
3067,64,8.82
3068,7,0.96
3071,171,23.55
3072,13,1.79
3074,136,18.73
3075,35,4.82
3076,21,2.89
3077,60,8.26
3078,33,4.55
3082,36,4.96
3083,7,0.96
3086,8,1.1
3087,16,2.2
3091,10,1.38
3094,1,0.14
3097,2,0.28
3101,12,1.65
3109,1,0.14
3111,126,17.36
3113,1,0.14
3117,4,0.55
3123,3,0.41
3124,42,5.79
3133,32,4.41
3134,3,0.41
3139,1,0.14
3140,5,0.69
3142,5,0.69
3143,98,13.5
3144,31,4.27
3147,8,1.1
3153,507,69.83
3155,23,3.17
3156,29,3.99
3165,1,0.14
3190,1,0.14
3193,1,0.14
3194,3,0.41
3211,55,7.58
3302,1,0.14
3340,641,88.29
3341,5,0.69
3363,56,7.71
3364,20,2.75
3380,4,0.55
3384,1,0.14
3401,3,0.41
3508,3,0.41
3512,1,0.14
3706,2,0.28
3715,1,0.14
3742,28,3.86
3748,55,7.58
3751,2,0.28
3801,1,0.14
3812,113,15.56
3814,1,0.14
