item,count,percentage
1001,343,5.63
1004,2,0.03
1011,1,0.02
1018,2,0.03
1026,1442,23.67
1027,12,0.2
1028,156,2.56
1029,95,1.56
1031,1,0.02
1033,186,3.05
1036,12,0.2
1037,1,0.02
1038,4,0.07
1042,8,0.13
1043,4,0.07
1051,2,0.03
1052,1246,20.46
1053,12,0.2
1054,4,0.07
1055,21,0.34
1056,3564,58.51
1057,10,0.16
1058,1394,22.89
1082,192,3.15
1083,1,0.02
1402,8,0.13
1414,1,0.02
1419,2,0.03
2003,130,2.13
2010,324,5.32
2015,1,0.02
2031,266,4.37
2032,3,0.05
2033,25,0.41
2045,1,0.02
2049,5,0.08
2055,165,2.71
2138,2,0.03
2139,10,0.16
2140,2,0.03
2301,8,0.13
2302,1,0.02
3001,35,0.57
3003,6,0.1
3006,25,0.41
3009,8,0.13
3010,12,0.2
3020,5045,82.83
3022,2,0.03
3026,2,0.03
3027,45,0.74
3028,1,0.02
3030,47,0.77
3031,19,0.31
3033,1,0.02
3036,3,0.05
3040,3,0.05
3041,52,0.85
3044,1,0.02
3046,8,0.13
3047,96,1.58
3057,34,0.56
3065,2,0.03
3067,6,0.1
3069,1,0.02
3070,11,0.18
3071,1,0.02
3072,1,0.02
3075,1,0.02
3076,1,0.02
3078,5,0.08
3083,1,0.02
3085,4,0.07
3086,3,0.05
3087,20,0.33
3089,1132,18.58
3091,1,0.02
3092,15,0.25
3094,5,0.08
3097,1,0.02
3098,3,0.05
3100,130,2.13
3101,2,0.03
3102,1012,16.61
3107,3,0.05
3108,515,8.46
3111,208,3.41
3113,561,9.21
3114,1,0.02
3115,4,0.07
3116,505,8.29
3117,9,0.15
3124,1,0.02
3134,1,0.02
3135,1149,18.86
3136,213,3.5
3139,1,0.02
3140,23,0.38
3143,2,0.03
3144,12,0.2
3145,50,0.82
3146,318,5.22
3147,1,0.02
3151,623,10.23
3152,139,2.28
3153,10,0.16
3155,2,0.03
3157,1408,23.12
3158,111,1.82
3165,5345,87.75
3174,11,0.18
3190,1,0.02
3191,334,5.48
3193,1,0.02
3194,1,0.02
3211,2,0.03
3222,1,0.02
3285,3401,55.84
3301,3,0.05
3303,2,0.03
3340,4528,74.34
3341,6,0.1
3363,1186,19.47
3364,353,5.8
3371,2,0.03
3374,56,0.92
3508,7,0.11
3512,3,0.05
3742,2,0.03
3751,12,0.2
3800,1,0.02
3802,200,3.28
3812,1,0.02
