item,count,percentage
1001,125,5.57
1004,2,0.09
1006,6,0.27
1011,142,6.32
1026,172,7.66
1027,31,1.38
1028,320,14.25
1029,263,11.71
1031,153,6.81
1033,84,3.74
1038,1,0.04
1039,56,2.49
1041,10,0.45
1042,3,0.13
1043,1,0.04
1052,103,4.59
1054,13,0.58
1056,6,0.27
1057,204,9.08
1058,23,1.02
1082,9,0.4
1401,1609,71.64
1402,209,9.31
1409,124,5.52
1410,12,0.53
1412,2,0.09
1413,60,2.67
1414,22,0.98
1419,2,0.09
2003,12,0.53
2010,5,0.22
2015,1,0.04
2031,755,33.62
2032,203,9.04
2033,14,0.62
2045,5,0.22
2049,5,0.22
2053,5,0.22
2055,81,3.61
2138,3,0.13
2303,14,0.62
3001,822,36.6
3006,1,0.04
3009,64,2.85
3010,116,5.16
3020,83,3.7
3024,104,4.63
3025,13,0.58
3026,1,0.04
3027,64,2.85
3030,6,0.27
3040,3,0.13
3041,6,0.27
3047,1246,55.48
3050,9,0.4
3052,1,0.04
3056,1,0.04
3057,2,0.09
3060,1,0.04
3065,139,6.19
3067,37,1.65
3068,152,6.77
3069,2,0.09
3070,8,0.36
3075,615,27.38
3076,161,7.17
3077,1,0.04
3082,247,11.0
3083,61,2.72
3086,1,0.04
3089,28,1.25
3092,3,0.13
3097,6,0.27
3098,1,0.04
3100,2,0.09
3101,1,0.04
3102,34,1.51
3105,12,0.53
3107,7,0.31
3108,18,0.8
3109,38,1.69
3110,414,18.43
3111,483,21.5
3113,2,0.09
3116,411,18.3
3117,84,3.74
3124,1,0.04
3135,13,0.58
3136,124,5.52
3143,278,12.38
3145,4,0.18
3146,1,0.04
3151,412,18.34
3152,15,0.67
3156,1,0.04
3157,43,1.91
3158,43,1.91
3165,13,0.58
3174,1,0.04
3190,39,1.74
3191,7,0.31
3193,307,13.67
3194,40,1.78
3211,68,3.03
3252,1,0.04
3285,17,0.76
3301,1,0.04
3302,2,0.09
3303,1,0.04
3340,1818,80.94
3341,55,2.45
3363,57,2.54
3364,308,13.71
3373,5,0.22
3374,3,0.13
3379,11,0.49
3383,1,0.04
3401,14,0.62
3504,2,0.09
3512,14,0.62
3706,24,1.07
3711,2,0.09
3742,98,4.36
3751,33,1.47
3800,63,2.8
3801,19,0.85
3802,4,0.18
