item,count,percentage
1001,130,5.95
1004,2,0.09
1006,1,0.05
1011,1,0.05
1026,451,20.65
1027,7,0.32
1028,46,2.11
1029,51,2.34
1031,2,0.09
1033,30,1.37
1052,269,12.32
1054,1,0.05
1055,2,0.09
1056,1062,48.63
1057,13,0.6
1058,436,19.96
1082,61,2.79
1402,2,0.09
2003,42,1.92
2010,84,3.85
2031,77,3.53
2032,2,0.09
2033,19,0.87
2045,5,0.23
2049,9,0.41
2053,8,0.37
2055,76,3.48
2139,2,0.09
2301,27,1.24
2302,8,0.37
3001,32,1.47
3003,231,10.58
3006,2,0.09
3009,28,1.28
3010,43,1.97
3020,1577,72.21
3024,3,0.14
3025,1,0.05
3026,1,0.05
3027,1851,84.75
3030,121,5.54
3031,1,0.05
3040,1137,52.06
3041,13,0.6
3042,1,0.05
3047,70,3.21
3050,6,0.27
3056,1,0.05
3057,2,0.09
3060,4,0.18
3065,2,0.09
3067,1,0.05
3069,2,0.09
3070,604,27.66
3075,4,0.18
3076,3,0.14
3082,1,0.05
3083,1,0.05
3087,1,0.05
3089,361,16.53
3092,19,0.87
3094,1,0.05
3096,6,0.27
3098,14,0.64
3100,1,0.05
3102,79,3.62
3105,3,0.14
3107,7,0.32
3108,117,5.36
3110,2,0.09
3111,118,5.4
3113,20,0.92
3114,3,0.14
3115,6,0.27
3116,28,1.28
3117,22,1.01
3135,364,16.67
3136,171,7.83
3140,1,0.05
3145,7,0.32
3151,685,31.36
3152,2,0.09
3157,455,20.83
3158,133,6.09
3165,165,7.55
3174,4,0.18
3190,6,0.27
3191,113,5.17
3193,1,0.05
3194,4,0.18
3211,4,0.18
3222,2,0.09
3285,82,3.75
3301,1,0.05
3302,1,0.05
3303,13,0.6
3340,1659,75.96
3341,2,0.09
3363,419,19.18
3364,100,4.58
3374,15,0.69
3383,1,0.05
3504,3,0.14
3512,47,2.15
3742,2,0.09
3801,1,0.05
3802,28,1.28
