item,count,percentage
1001,22,2.73
1004,1,0.12
1026,214,26.58
1027,6,0.75
1028,60,7.45
1029,9,1.12
1033,21,2.61
1039,1,0.12
1042,1,0.12
1051,1,0.12
1052,167,20.75
1055,1,0.12
1056,68,8.45
1057,6,0.75
1058,81,10.06
1082,165,20.5
1402,14,1.74
2003,3,0.37
2010,7,0.87
2031,8,0.99
2032,1,0.12
2033,310,38.51
2049,3,0.37
2055,28,3.48
2301,3,0.37
2302,3,0.37
3001,11,1.37
3003,5,0.62
3006,1,0.12
3009,557,69.19
3010,18,2.24
3020,84,10.43
3026,2,0.25
3027,44,5.47
3030,679,84.35
3040,5,0.62
3041,26,3.23
3047,29,3.6
3057,1,0.12
3070,4,0.5
3089,93,11.55
3092,6,0.75
3098,2,0.25
3100,3,0.37
3102,107,13.29
3108,65,8.07
3110,4,0.5
3111,68,8.45
3113,6,0.75
3116,585,72.67
3117,3,0.37
3135,109,13.54
3136,85,10.56
3143,2,0.25
3145,17,2.11
3151,321,39.88
3157,142,17.64
3158,4,0.5
3165,12,1.49
3174,2,0.25
3190,1,0.12
3191,46,5.71
3194,1,0.12
3211,1,0.12
3285,8,0.99
3301,2,0.25
3303,3,0.37
3340,631,78.39
3341,3,0.37
3363,148,18.39
3364,23,2.86
3374,6,0.75
3379,2,0.25
3508,1,0.12
3706,2,0.25
3742,1,0.12
3802,1,0.12
3812,2,0.25
