item,count,percentage
1001,296,4.49
1004,78,1.18
1006,39,0.59
1011,184,2.79
1018,4,0.06
1026,108,1.64
1027,232,3.52
1028,464,7.04
1029,683,10.36
1031,370,5.61
1033,347,5.26
1036,16,0.24
1037,5,0.08
1038,9,0.14
1039,2,0.03
1041,1,0.02
1042,15,0.23
1043,3,0.05
1051,4,0.06
1052,116,1.76
1053,9,0.14
1054,11,0.17
1055,6,0.09
1056,43,0.65
1057,225,3.41
1058,89,1.35
1082,29,0.44
1400,7,0.11
1401,12,0.18
1402,9,0.14
1409,4,0.06
1410,3,0.05
1412,3,0.05
1413,5,0.08
1414,4,0.06
1416,4,0.06
1419,3,0.05
2003,58,0.88
2010,427,6.48
2011,1,0.02
2015,3,0.05
2031,378,5.73
2032,9,0.14
2033,21,0.32
2045,1555,23.58
2049,2016,30.57
2053,41,0.62
2055,726,11.01
2138,4,0.06
2301,14,0.21
2302,318,4.82
2303,1252,18.99
3001,314,4.76
3003,16,0.24
3004,8,0.12
3006,15,0.23
3009,351,5.32
3010,143,2.17
3020,117,1.77
3022,9,0.14
3024,813,12.33
3025,1381,20.94
3026,13,0.2
3027,109,1.65
3028,14,0.21
3030,19,0.29
3031,17,0.26
3036,1,0.02
3040,8,0.12
3041,23,0.35
3042,5,0.08
3044,5,0.08
3046,16,0.24
3047,455,6.9
3050,690,10.46
3052,3,0.05
3053,4,0.06
3056,2,0.03
3057,296,4.49
3060,25,0.38
3065,102,1.55
3067,473,7.17
3068,66,1.0
3069,465,7.05
3070,58,0.88
3071,5,0.08
3072,1,0.02
3074,6,0.09
3075,184,2.79
3076,128,1.94
3077,10,0.15
3078,38,0.58
3082,290,4.4
3083,108,1.64
3086,10,0.15
3087,15,0.23
3089,75,1.14
3091,2,0.03
3092,49,0.74
3094,2,0.03
3096,81,1.23
3097,480,7.28
3098,12,0.18
3100,140,2.12
3101,2,0.03
3102,41,0.62
3105,447,6.78
3107,983,14.91
3108,42,0.64
3109,1208,18.32
3110,566,8.58
3111,296,4.49
3113,60,0.91
3114,141,2.14
3115,1,0.02
3116,33,0.5
3117,4665,70.75
3123,2,0.03
3124,2,0.03
3133,3,0.05
3134,4,0.06
3135,21,0.32
3136,15,0.23
3140,1,0.02
3142,3,0.05
3143,99,1.5
3144,3,0.05
3145,18,0.27
3146,16,0.24
3147,9,0.14
3151,35,0.53
3152,72,1.09
3153,7,0.11
3156,2,0.03
3157,41,0.62
3158,130,1.97
3165,81,1.23
3190,1337,20.28
3191,13,0.2
3193,117,1.77
3194,40,0.61
3211,98,1.49
3222,38,0.58
3285,151,2.29
3301,39,0.59
3302,281,4.26
3303,8,0.12
3340,2423,36.75
3341,834,12.65
3363,78,1.18
3364,3239,49.12
3373,6,0.09
3374,6,0.09
3379,5,0.08
3382,29,0.44
3383,46,0.7
3384,2,0.03
3401,3251,49.3
3504,37,0.56
3508,3,0.05
3512,71,1.08
3706,1,0.02
3711,1,0.02
3715,1,0.02
3742,144,2.18
3748,11,0.17
3751,47,0.71
3800,1277,19.37
3801,499,7.57
3802,16,0.24
