item,count,percentage
1001,178,4.75
1004,11,0.29
1011,3,0.08
1026,999,26.65
1027,20,0.53
1028,319,8.51
1029,53,1.41
1033,39,1.04
1036,1,0.03
1037,1,0.03
1039,3,0.08
1042,1,0.03
1052,846,22.57
1055,1,0.03
1056,901,24.03
1057,10,0.27
1058,487,12.99
1082,111,2.96
1402,18,0.48
1410,1,0.03
1414,2,0.05
2003,45,1.2
2010,226,6.03
2015,1,0.03
2031,171,4.56
2032,5,0.13
2033,43,1.15
2045,76,2.03
2049,357,9.52
2053,2,0.05
2055,225,6.0
2301,953,25.42
2302,34,0.91
3001,25,0.67
3003,9,0.24
3006,4,0.11
3009,17,0.45
3010,58,1.55
3020,1920,51.21
3022,1,0.03
3024,2,0.05
3026,2,0.05
3027,1349,35.98
3028,2,0.05
3030,18,0.48
3031,1,0.03
3040,9,0.24
3041,40,1.07
3046,1,0.03
3047,47,1.25
3050,1,0.03
3056,1,0.03
3065,3,0.08
3067,2,0.05
3069,10,0.27
3070,25,0.67
3075,1,0.03
3076,1,0.03
3078,1,0.03
3082,1,0.03
3083,4,0.11
3085,1,0.03
3087,1,0.03
3089,478,12.75
3091,1,0.03
3092,560,14.94
3096,5,0.13
3098,249,6.64
3100,2,0.05
3102,105,2.8
3105,7,0.19
3107,30,0.8
3108,260,6.94
3109,3,0.08
3110,1,0.03
3111,55,1.47
3113,106,2.83
3114,9,0.24
3115,1,0.03
3116,2037,54.33
3117,88,2.35
3123,2,0.05
3135,548,14.62
3136,405,10.8
3140,3,0.08
3143,1,0.03
3145,2,0.05
3151,2191,58.44
3152,4,0.11
3153,2,0.05
3157,499,13.31
3158,1304,34.78
3165,679,18.11
3174,7,0.19
3190,12,0.32
3191,167,4.45
3193,1,0.03
3194,2,0.05
3211,1,0.03
3222,1,0.03
3285,245,6.54
3301,5,0.13
3303,120,3.2
3340,2107,56.2
3341,177,4.72
3363,309,8.24
3364,1147,30.59
3374,27,0.72
3379,1,0.03
3382,1,0.03
3383,2,0.05
3504,4,0.11
3512,8,0.21
3706,1,0.03
3742,1,0.03
3801,7,0.19
3802,111,2.96
