item,count,percentage
1001,283,7.86
1004,56,1.55
1006,37,1.03
1011,203,5.64
1026,2,0.06
1027,23,0.64
1028,321,8.91
1029,446,12.38
1031,387,10.74
1033,293,8.13
1036,6,0.17
1037,1,0.03
1038,3,0.08
1042,5,0.14
1043,3,0.08
1052,2,0.06
1053,2,0.06
1054,5,0.14
1055,4,0.11
1056,6,0.17
1057,119,3.3
1082,1,0.03
1401,1,0.03
1409,4,0.11
1416,3,0.08
1419,4,0.11
2003,27,0.75
2010,275,7.63
2015,1,0.03
2031,168,4.66
2033,5,0.14
2045,905,25.12
2049,1228,34.09
2053,9,0.25
2055,549,15.24
2138,1,0.03
2302,11,0.31
2303,972,26.99
3001,20,0.56
3006,8,0.22
3009,182,5.05
3010,11,0.31
3022,11,0.31
3024,139,3.86
3025,19,0.53
3027,1,0.03
3028,3,0.08
3044,5,0.14
3047,696,19.32
3050,312,8.66
3052,4,0.11
3053,3,0.08
3056,2,0.06
3057,6,0.17
3060,9,0.25
3065,54,1.5
3067,327,9.08
3068,60,1.67
3069,7,0.19
3071,3,0.08
3075,115,3.19
3076,74,2.05
3077,4,0.11
3078,5,0.14
3082,228,6.33
3083,77,2.14
3086,1,0.03
3087,4,0.11
3089,1,0.03
3091,6,0.17
3094,1,0.03
3096,3,0.08
3097,300,8.33
3101,3,0.08
3102,1,0.03
3105,384,10.66
3107,717,19.91
3109,1226,34.04
3110,106,2.94
3111,502,13.94
3113,4,0.11
3114,128,3.55
3116,1,0.03
3117,1759,48.83
3124,2,0.06
3140,1,0.03
3143,395,10.97
3144,3,0.08
3147,1,0.03
3153,6,0.17
3155,1,0.03
3158,35,0.97
3190,1327,36.84
3193,208,5.77
3194,26,0.72
3211,68,1.89
3222,12,0.33
3285,1,0.03
3301,3,0.08
3302,135,3.75
3340,976,27.1
3341,549,15.24
3363,29,0.81
3364,2041,56.66
3373,5,0.14
3379,2,0.06
3382,15,0.42
3383,22,0.61
3384,1,0.03
3401,2102,58.36
3504,31,0.86
3512,21,0.58
3742,74,2.05
3748,10,0.28
3751,31,0.86
3800,52,1.44
3801,216,6.0
