item,count,percentage
1001,365,5.58
1004,2,0.03
1011,3,0.05
1018,151,2.31
1027,2,0.03
1028,3,0.05
1029,101,1.54
1031,2,0.03
1033,54,0.83
1036,641,9.8
1037,301,4.6
1038,1258,19.23
1042,852,13.02
1043,33,0.5
1051,223,3.41
1052,1,0.02
1053,1243,19.0
1054,168,2.57
1055,3402,51.99
1057,3,0.05
1083,73,1.12
1419,1,0.02
2003,232,3.55
2010,297,4.54
2015,387,5.91
2031,203,3.1
2032,2,0.03
2033,4,0.06
2049,2,0.03
2053,1,0.02
2055,125,1.91
2140,4,0.06
3004,1,0.02
3006,5604,85.65
3009,10,0.15
3020,1,0.02
3022,12,0.18
3025,1,0.02
3026,554,8.47
3027,1,0.02
3031,5563,85.02
3033,243,3.71
3034,104,1.59
3035,392,5.99
3036,905,13.83
3042,1,0.02
3044,2,0.03
3046,353,5.4
3047,202,3.09
3052,2,0.03
3053,5,0.08
3057,1,0.02
3067,2,0.03
3068,1,0.02
3069,2,0.03
3070,16,0.24
3071,3,0.05
3072,1256,19.2
3075,1,0.02
3078,3,0.05
3085,1717,26.24
3086,1043,15.94
3087,3214,49.12
3094,3114,47.59
3097,1,0.02
3098,1,0.02
3100,1,0.02
3101,4,0.06
3109,1,0.02
3111,31,0.47
3117,13,0.2
3123,88,1.34
3124,2,0.03
3133,36,0.55
3134,11,0.17
3139,204,3.12
3140,185,2.83
3142,24,0.37
3143,1,0.02
3144,84,1.28
3147,44,0.67
3153,169,2.58
3155,38,0.58
3156,31,0.47
3158,2,0.03
3211,2,0.03
3301,1,0.02
3302,1,0.02
3303,1,0.02
3340,4255,65.03
3341,3,0.05
3363,2243,34.28
3364,29,0.44
3371,99,1.51
3401,1,0.02
3508,137,2.09
3742,1,0.02
3801,1,0.02
3802,1,0.02
3812,30,0.46
3814,7,0.11
