item,count,percentage
1001,160,8.79
1006,12,0.66
1011,95,5.22
1027,11,0.6
1028,216,11.86
1029,165,9.06
1031,100,5.49
1033,52,2.86
1036,235,12.9
1037,51,2.8
1038,90,4.94
1041,8,0.44
1042,54,2.97
1043,4,0.22
1051,1,0.05
1053,122,6.7
1054,252,13.84
1055,558,30.64
1057,7,0.38
1083,5,0.27
1400,9,0.49
1401,6,0.33
1408,1,0.05
1412,86,4.72
1413,12,0.66
1416,1,0.05
1419,6,0.33
2003,52,2.86
2010,6,0.33
2015,1,0.05
2031,137,7.52
2032,9,0.49
2033,226,12.41
2045,14,0.77
2049,14,0.77
2053,1,0.05
2055,62,3.4
2303,26,1.43
3001,1,0.05
3006,20,1.1
3009,19,1.04
3022,12,0.66
3024,9,0.49
3025,13,0.71
3026,236,12.96
3031,2,0.11
3033,8,0.44
3035,4,0.22
3036,4,0.22
3044,151,8.29
3046,1,0.05
3047,912,50.08
3050,2,0.11
3052,134,7.36
3053,234,12.85
3056,1,0.05
3057,158,8.68
3065,131,7.19
3067,78,4.28
3068,9,0.49
3069,1,0.05
3070,12,0.66
3071,82,4.5
3072,8,0.44
3074,629,34.54
3075,66,3.62
3076,45,2.47
3077,385,21.14
3078,1398,76.77
3082,61,3.35
3083,4,0.22
3086,1,0.05
3087,4,0.22
3091,2,0.11
3094,1,0.05
3096,2,0.11
3097,9,0.49
3101,49,2.69
3105,3,0.16
3107,9,0.49
3109,20,1.1
3110,2,0.11
3111,383,21.03
3113,1,0.05
3114,2,0.11
3117,23,1.26
3123,13,0.71
3133,49,2.69
3134,19,1.04
3139,5,0.27
3140,15,0.82
3142,24,1.32
3143,73,4.01
3144,3,0.16
3146,1,0.05
3147,17,0.93
3153,10,0.55
3155,50,2.75
3156,41,2.25
3158,215,11.81
3190,17,0.93
3193,25,1.37
3194,20,1.1
3211,92,5.05
3222,1,0.05
3302,5,0.27
3340,1487,81.66
3341,12,0.66
3363,194,10.65
3364,125,6.86
3380,2,0.11
3382,1,0.05
3384,8,0.44
3401,31,1.7
3512,2,0.11
3513,2,0.11
3706,2,0.11
3715,12,0.66
3742,151,8.29
3748,490,26.91
3751,5,0.27
3800,4,0.22
3801,2,0.11
3812,48,2.64
