item,count,percentage
1006,3,0.11
1011,1,0.04
1026,667,24.94
1027,11,0.41
1028,100,3.74
1029,42,1.57
1033,86,3.22
1052,605,22.63
1054,3,0.11
1056,1248,46.67
1057,28,1.05
1058,518,19.37
1082,208,7.78
1402,5,0.19
1410,1,0.04
1414,3,0.11
2003,72,2.69
2010,65,2.43
2031,130,4.86
2033,384,14.36
2049,1,0.04
2053,1,0.04
2055,112,4.19
2139,1,0.04
2301,6,0.22
3001,341,12.75
3003,138,5.16
3010,40,1.5
3025,2,0.07
3027,1114,41.66
3028,1,0.04
3030,11,0.41
3031,1,0.04
3034,1,0.04
3040,1376,51.46
3041,12,0.45
3042,1,0.04
3065,8,0.3
3067,2,0.07
3070,1028,38.44
3072,1,0.04
3075,2,0.07
3076,1,0.04
3078,1,0.04
3082,3,0.11
3086,2,0.07
3089,369,13.8
3092,2,0.07
3098,3,0.11
3102,350,13.09
3105,2,0.07
3107,1,0.04
3108,304,11.37
3110,4,0.15
3113,47,1.76
3116,1016,38.0
3135,521,19.48
3136,143,5.35
3140,25,0.93
3145,1,0.04
3146,3,0.11
3151,355,13.28
3152,3,0.11
3157,494,18.47
3165,1508,56.39
3174,2,0.07
3191,131,4.9
3194,7,0.26
3211,11,0.41
3285,113,4.23
3303,7,0.26
3340,1866,69.78
3341,3,0.11
3363,633,23.67
3364,114,4.26
3374,9,0.34
3379,5,0.19
3512,1,0.04
3800,2,0.07
3802,136,5.09
