item,count,percentage
1001,137,5.79
1006,2,0.08
1011,1,0.04
1018,136,5.75
1026,56,2.37
1027,6,0.25
1028,2,0.08
1029,40,1.69
1033,32,1.35
1036,105,4.44
1037,262,11.07
1038,480,20.29
1042,226,9.55
1043,5,0.21
1051,81,3.42
1052,47,1.99
1053,131,5.54
1054,237,10.02
1055,922,38.97
1056,21,0.89
1057,1,0.04
1058,1,0.04
1082,5,0.21
1083,29,1.23
1400,4,0.17
1402,1,0.04
1412,1,0.04
1414,1,0.04
1419,1,0.04
2003,64,2.7
2010,51,2.16
2015,135,5.71
2031,157,6.64
2032,2,0.08
2033,121,5.11
2049,2,0.08
2053,1,0.04
2055,99,4.18
2139,1,0.04
2140,3,0.13
3001,2,0.08
3004,1,0.04
3006,36,1.52
3009,2,0.08
3020,1995,84.32
3022,3,0.13
3025,1,0.04
3026,137,5.79
3028,1,0.04
3031,1171,49.49
3033,17,0.72
3034,5,0.21
3035,16,0.68
3036,26,1.1
3042,1,0.04
3044,60,2.54
3046,30,1.27
3047,55,2.32
3050,2,0.08
3052,1,0.04
3053,1,0.04
3057,64,2.7
3067,1,0.04
3070,1,0.04
3072,148,6.26
3075,1,0.04
3078,2164,91.46
3082,3,0.13
3085,7,0.3
3086,270,11.41
3087,875,36.98
3091,3,0.13
3092,1,0.04
3094,882,37.28
3098,1,0.04
3100,2,0.08
3101,29,1.23
3102,12,0.51
3108,13,0.55
3111,42,1.78
3113,1,0.04
3115,2,0.08
3116,1,0.04
3117,5,0.21
3123,19,0.8
3124,4,0.17
3133,56,2.37
3134,2,0.08
3135,107,4.52
3136,5,0.21
3139,26,1.1
3140,46,1.94
3142,5,0.21
3144,32,1.35
3145,10,0.42
3146,63,2.66
3147,6,0.25
3151,8,0.34
3153,27,1.14
3155,256,10.82
3156,98,4.14
3157,3,0.13
3158,7,0.3
3165,1,0.04
3191,1,0.04
3211,2,0.08
3285,1,0.04
3302,1,0.04
3340,1421,60.06
3341,1,0.04
3363,884,37.36
3364,59,2.49
3371,9,0.38
3382,1,0.04
3384,33,1.39
3508,143,6.04
3742,1,0.04
3812,4,0.17
3814,1,0.04
