item,count,percentage
1001,146,3.9
1004,2,0.05
1006,23,0.61
1011,480,12.82
1018,3,0.08
1027,5,0.13
1028,497,13.27
1029,361,9.64
1031,408,10.89
1033,137,3.66
1036,209,5.58
1037,15,0.4
1038,46,1.23
1039,2,0.05
1041,1,0.03
1042,22,0.59
1043,1,0.03
1051,1,0.03
1053,43,1.15
1054,1108,29.59
1055,365,9.75
1056,1,0.03
1057,33,0.88
1058,1,0.03
1083,1,0.03
1400,6,0.16
1401,18,0.48
1412,5,0.13
2003,112,2.99
2010,25,0.67
2015,1,0.03
2031,216,5.77
2032,2,0.05
2033,267,7.13
2045,1,0.03
2049,1,0.03
2053,22,0.59
2055,56,1.5
2138,3,0.08
2140,1,0.03
2303,4,0.11
3001,5,0.13
3006,12,0.32
3009,129,3.44
3010,2,0.05
3022,71,1.9
3024,27,0.72
3025,16,0.43
3026,94,2.51
3031,11,0.29
3033,17,0.45
3034,1,0.03
3035,5,0.13
3036,3,0.08
3044,91,2.43
3046,26,0.69
3047,1676,44.75
3050,1,0.03
3052,216,5.77
3053,216,5.77
3056,3,0.08
3057,13,0.35
3060,1,0.03
3065,1679,44.83
3067,319,8.52
3068,105,2.8
3069,4,0.11
3070,13,0.35
3071,3308,88.33
3072,9,0.24
3074,44,1.17
3075,716,19.12
3076,251,6.7
3077,181,4.83
3078,124,3.31
3082,255,6.81
3083,230,6.14
3086,12,0.32
3087,8,0.21
3091,3,0.08
3096,1,0.03
3097,2,0.05
3101,3,0.08
3102,1,0.03
3105,10,0.27
3107,2,0.05
3109,11,0.29
3110,21,0.56
3111,1637,43.71
3113,1,0.03
3117,11,0.29
3123,27,0.72
3133,58,1.55
3134,21,0.56
3135,1,0.03
3139,5,0.13
3140,9,0.24
3142,52,1.39
3143,463,12.36
3144,1,0.03
3147,29,0.77
3151,1,0.03
3153,9,0.24
3155,48,1.28
3156,77,2.06
3158,13,0.35
3190,16,0.43
3193,113,3.02
3194,66,1.76
3211,379,10.12
3301,2,0.05
3302,1,0.03
3303,1,0.03
3340,3256,86.94
3341,3,0.08
3363,329,8.79
3364,155,4.14
3371,2,0.05
3380,29,0.77
3384,3,0.08
3401,4,0.11
3512,54,1.44
3513,1,0.03
3706,2,0.05
3715,1,0.03
3742,1787,47.72
3748,495,13.22
3751,29,0.77
3800,163,4.35
3801,64,1.71
3812,127,3.39
3814,4,0.11
