item,count,percentage
1001,194,6.61
1004,1,0.03
1011,6,0.2
1026,588,20.02
1027,29,0.99
1028,57,1.94
1029,60,2.04
1031,3,0.1
1033,88,3.0
1036,3,0.1
1037,1,0.03
1038,2,0.07
1039,31,1.06
1041,4,0.14
1042,55,1.87
1043,7,0.24
1052,492,16.75
1054,11,0.37
1055,1,0.03
1056,1066,36.3
1057,15,0.51
1058,390,13.28
1082,122,4.15
1083,1,0.03
1401,5,0.17
1402,761,25.91
1410,14,0.48
1412,1,0.03
1413,4,0.14
1414,94,3.2
1416,5,0.17
1419,4,0.14
2003,70,2.38
2010,56,1.91
2015,1,0.03
2031,243,8.27
2032,53,1.8
2033,87,2.96
2049,2,0.07
2053,2,0.07
2055,46,1.57
2139,1,0.03
3001,62,2.11
3003,2,0.07
3006,15,0.51
3009,10,0.34
3010,17,0.58
3020,2200,74.91
3022,2,0.07
3024,5,0.17
3025,16,0.54
3026,8,0.27
3027,409,13.93
3030,17,0.58
3040,1,0.03
3041,35,1.19
3044,1,0.03
3046,1,0.03
3047,133,4.53
3052,1,0.03
3057,204,6.95
3065,6,0.2
3067,13,0.44
3068,6,0.2
3072,1,0.03
3075,7,0.24
3076,5,0.17
3077,2,0.07
3078,6,0.2
3082,2,0.07
3083,2,0.07
3087,1,0.03
3089,649,22.1
3091,6,0.2
3092,2,0.07
3096,1,0.03
3097,2,0.07
3100,966,32.89
3101,145,4.94
3102,398,13.55
3105,5,0.17
3108,342,11.64
3109,4,0.14
3111,198,6.74
3113,168,5.72
3115,1715,58.39
3116,203,6.91
3117,11,0.37
3124,6,0.2
3135,516,17.57
3136,55,1.87
3139,1,0.03
3140,7,0.24
3143,6,0.2
3144,5,0.17
3145,36,1.23
3146,98,3.34
3147,1,0.03
3151,98,3.34
3152,162,5.52
3153,1,0.03
3157,1408,47.94
3158,47,1.6
3165,67,2.28
3174,1,0.03
3190,1,0.03
3191,221,7.52
3193,1,0.03
3194,9,0.31
3211,3,0.1
3285,266,9.06
3303,1,0.03
3340,2349,79.98
3341,17,0.58
3363,306,10.42
3364,259,8.82
3374,44,1.5
3379,2,0.07
3384,1,0.03
3508,1,0.03
3513,1,0.03
3706,10,0.34
3715,3,0.1
3742,10,0.34
3748,2,0.07
3751,1,0.03
3800,1,0.03
3802,4,0.14
