item,count,percentage
1001,94,6.2
1006,23,1.52
1011,217,14.31
1026,2,0.13
1027,1,0.07
1028,237,15.63
1029,145,9.56
1031,156,10.29
1033,37,2.44
1036,6,0.4
1037,1,0.07
1039,2,0.13
1041,11,0.73
1042,2,0.13
1043,2,0.13
1051,1,0.07
1052,1,0.07
1053,2,0.13
1054,448,29.55
1055,6,0.4
1057,59,3.89
1082,1,0.07
1083,1,0.07
1401,54,3.56
1408,1,0.07
1409,38,2.51
1413,366,24.14
1419,1,0.07
2003,48,3.17
2010,7,0.46
2011,1,0.07
2015,1,0.07
2031,113,7.45
2032,8,0.53
2033,4,0.26
2045,2,0.13
2049,2,0.13
2053,8,0.53
2055,41,2.7
2301,1,0.07
2302,4,0.26
2303,8,0.53
3001,35,2.31
3006,8,0.53
3009,421,27.77
3010,12,0.79
3020,6,0.4
3022,21,1.39
3024,6,0.4
3026,8,0.53
3030,1,0.07
3031,4,0.26
3044,3,0.2
3046,41,2.7
3047,584,38.52
3050,1,0.07
3052,19,1.25
3053,8,0.53
3056,1,0.07
3057,2,0.13
3060,2,0.13
3065,998,65.83
3067,162,10.69
3068,741,48.88
3069,1,0.07
3070,7,0.46
3071,6,0.4
3072,2,0.13
3074,2,0.13
3075,570,37.6
3076,155,10.22
3077,22,1.45
3078,4,0.26
3082,114,7.52
3083,489,32.26
3086,10,0.66
3087,3,0.2
3091,5,0.33
3097,3,0.2
3101,1,0.07
3102,1,0.07
3105,7,0.46
3109,32,2.11
3110,3,0.2
3111,313,20.65
3115,1,0.07
3116,4,0.26
3117,7,0.46
3123,3,0.2
3124,1,0.07
3133,2,0.13
3134,2,0.13
3135,2,0.13
3136,3,0.2
3142,1,0.07
3143,148,9.76
3146,9,0.59
3151,13,0.86
3153,4,0.26
3157,1,0.07
3158,5,0.33
3190,20,1.32
3193,146,9.63
3194,35,2.31
3211,137,9.04
3301,2,0.13
3302,5,0.33
3340,1291,85.16
3341,16,1.06
3363,67,4.42
3364,137,9.04
3373,18,1.19
3379,2,0.13
3382,1,0.07
3383,3,0.2
3401,19,1.25
3508,1,0.07
3512,17,1.12
3513,1,0.07
3715,4,0.26
3742,268,17.68
3748,54,3.56
3751,59,3.89
3800,16,1.06
3801,86,5.67
3812,4,0.26
