item,count,percentage
1001,304,6.18
1004,1,0.02
1006,2,0.04
1011,5,0.1
1018,218,4.43
1026,1,0.02
1028,4,0.08
1029,95,1.93
1031,1,0.02
1033,45,0.91
1036,473,9.62
1037,362,7.36
1038,865,17.58
1041,1,0.02
1042,529,10.75
1043,11,0.22
1051,184,3.74
1053,767,15.59
1054,60,1.22
1055,2167,44.05
1057,1,0.02
1083,27,0.55
1400,1,0.02
1412,11,0.22
1416,1,0.02
1419,1,0.02
2003,218,4.43
2010,114,2.32
2015,188,3.82
2031,151,3.07
2033,1,0.02
2049,4,0.08
2053,2,0.04
2055,69,1.4
2140,3,0.06
3004,1,0.02
3006,3644,74.08
3009,62,1.26
3020,1,0.02
3022,9,0.18
3025,3,0.06
3026,404,8.21
3031,3309,67.27
3033,168,3.42
3034,42,0.85
3035,249,5.06
3036,604,12.28
3041,1,0.02
3044,3,0.06
3046,1151,23.4
3047,451,9.17
3052,6,0.12
3053,8,0.16
3057,6,0.12
3060,1,0.02
3065,2,0.04
3067,1,0.02
3069,1,0.02
3070,41,0.83
3071,9,0.18
3072,1570,31.92
3075,1,0.02
3078,13,0.26
3082,4,0.08
3083,1,0.02
3085,14,0.28
3086,610,12.4
3087,1960,39.85
3091,2,0.04
3092,1,0.02
3094,1072,21.79
3097,2,0.04
3110,1,0.02
3111,105,2.13
3113,2,0.04
3114,1,0.02
3117,13,0.26
3123,76,1.55
3133,162,3.29
3134,61,1.24
3139,396,8.05
3140,217,4.41
3142,480,9.76
3144,19,0.39
3147,205,4.17
3152,1,0.02
3153,68,1.38
3155,41,0.83
3156,40,0.81
3157,1,0.02
3158,7,0.14
3165,1,0.02
3194,1,0.02
3301,1,0.02
3302,6,0.12
3303,1,0.02
3340,3256,66.19
3341,2,0.04
3363,1620,32.93
3364,28,0.57
3371,79,1.61
3401,1,0.02
3508,313,6.36
3512,3,0.06
3513,1,0.02
3742,2,0.04
3751,1,0.02
3800,2,0.04
3812,2131,43.32
3814,6,0.12
