item,count,percentage
1001,301,6.41
1004,2,0.04
1006,1,0.02
1011,18,0.38
1026,840,17.89
1027,46,0.98
1028,61,1.3
1029,128,2.73
1031,29,0.62
1033,127,2.71
1036,16,0.34
1037,3,0.06
1038,23,0.49
1039,7,0.15
1042,10,0.21
1043,4,0.09
1051,4,0.09
1052,767,16.34
1053,2,0.04
1054,19,0.4
1055,2,0.04
1056,1872,39.87
1057,26,0.55
1058,617,13.14
1082,485,10.33
1083,1,0.02
1401,12,0.26
1402,222,4.73
1409,2,0.04
1410,3,0.06
1413,7,0.15
1414,23,0.49
1416,1,0.02
2003,79,1.68
2010,105,2.24
2015,6,0.13
2031,256,5.45
2032,40,0.85
2033,400,8.52
2045,2,0.04
2049,2,0.04
2055,108,2.3
2139,2,0.04
2301,1,0.02
2303,1,0.02
3001,54,1.15
3003,5,0.11
3004,1,0.02
3006,6,0.13
3009,21,0.45
3010,23,0.49
3020,3080,65.6
3022,4,0.09
3024,9,0.19
3025,89,1.9
3026,75,1.6
3027,152,3.24
3030,13,0.28
3031,1,0.02
3040,4,0.09
3041,75,1.6
3044,2,0.04
3047,313,6.67
3050,2,0.04
3052,2,0.04
3056,1,0.02
3057,432,9.2
3060,1,0.02
3065,46,0.98
3067,72,1.53
3068,42,0.89
3070,6,0.13
3071,1,0.02
3072,1,0.02
3075,16,0.34
3076,10,0.21
3077,3,0.06
3078,35,0.75
3082,9,0.19
3083,4,0.09
3086,5,0.11
3087,17,0.36
3089,800,17.04
3091,1,0.02
3092,119,2.53
3094,2,0.04
3097,2,0.04
3098,7,0.15
3100,3081,65.62
3101,7,0.15
3102,638,13.59
3105,2,0.04
3107,1,0.02
3108,491,10.46
3109,2,0.04
3110,1,0.02
3111,477,10.16
3113,294,6.26
3114,1,0.02
3115,30,0.64
3116,38,0.81
3117,15,0.32
3123,1,0.02
3124,2,0.04
3133,3,0.06
3134,6,0.13
3135,774,16.49
3136,42,0.89
3139,2,0.04
3140,10,0.21
3142,1,0.02
3143,10,0.21
3144,10,0.21
3145,113,2.41
3146,385,8.2
3147,21,0.45
3151,90,1.92
3152,2470,52.61
3153,4,0.09
3156,1,0.02
3157,1700,36.21
3158,261,5.56
3165,1369,29.16
3174,2,0.04
3190,2,0.04
3191,358,7.63
3193,4,0.09
3194,11,0.23
3211,21,0.45
3285,257,5.47
3302,1,0.02
3303,4,0.09
3340,3835,81.68
3341,9,0.19
3363,579,12.33
3364,254,5.41
3374,39,0.83
3379,2,0.04
3401,1,0.02
3508,2,0.04
3512,5,0.11
3706,1,0.02
3715,4,0.09
3742,36,0.77
3748,7,0.15
3751,13,0.28
3800,3,0.06
3801,2,0.04
3802,106,2.26
