item,count,percentage
1001,119,4.72
1006,5,0.2
1011,212,8.42
1026,422,16.75
1027,2,0.08
1028,285,11.31
1029,129,5.12
1031,180,7.15
1033,106,4.21
1036,2,0.08
1038,2,0.08
1039,44,1.75
1041,9,0.36
1042,2,0.08
1052,362,14.37
1053,1,0.04
1054,1,0.04
1055,2,0.08
1056,17,0.67
1057,45,1.79
1058,33,1.31
1082,87,3.45
1401,20,0.79
1402,1352,53.67
1409,6,0.24
1410,250,9.92
1413,8,0.32
1414,736,29.22
2003,10,0.4
2010,1,0.04
2031,970,38.51
2032,109,4.33
2033,6,0.24
2045,1,0.04
2049,3,0.12
2053,4,0.16
2055,149,5.92
2301,8,0.32
2303,1,0.04
3001,53,2.1
3003,1,0.04
3006,3,0.12
3009,12,0.48
3010,21,0.83
3020,1236,49.07
3022,1,0.04
3024,7,0.28
3025,6,0.24
3026,5,0.2
3027,18,0.71
3030,1,0.04
3041,5,0.2
3047,232,9.21
3050,4,0.16
3052,1,0.04
3057,6,0.24
3060,1,0.04
3065,69,2.74
3067,76,3.02
3068,12,0.48
3069,2,0.08
3070,15,0.6
3075,36,1.43
3076,32,1.27
3078,2,0.08
3082,49,1.95
3083,6,0.24
3087,2,0.08
3089,47,1.87
3092,4,0.16
3094,2,0.08
3098,1,0.04
3100,7,0.28
3102,224,8.89
3105,12,0.48
3107,5,0.2
3108,199,7.9
3109,48,1.91
3110,6,0.24
3111,176,6.99
3113,16,0.64
3115,3,0.12
3116,752,29.85
3117,651,25.84
3123,1,0.04
3134,1,0.04
3135,198,7.86
3136,284,11.27
3140,1,0.04
3143,62,2.46
3144,2,0.08
3145,81,3.22
3146,9,0.36
3151,1425,56.57
3152,613,24.34
3153,1,0.04
3157,444,17.63
3158,22,0.87
3165,6,0.24
3190,50,1.98
3191,146,5.8
3193,10,0.4
3194,24,0.95
3211,58,2.3
3252,1,0.04
3285,8,0.32
3340,1588,63.04
3341,62,2.46
3363,60,2.38
3364,799,31.72
3373,1,0.04
3374,3,0.12
3379,2,0.08
3383,2,0.08
3401,1,0.04
3504,1,0.04
3512,4,0.16
3513,4,0.16
3706,10,0.4
3711,5,0.2
3715,5,0.2
3742,314,12.47
3751,4,0.16
3801,1,0.04
3802,1,0.04
