item,count,percentage
1001,98,6.33
1006,1,0.06
1011,47,3.03
1018,1,0.06
1026,204,13.17
1027,23,1.48
1028,104,6.71
1029,43,2.78
1031,40,2.58
1033,28,1.81
1036,45,2.91
1037,6,0.39
1038,10,0.65
1039,41,2.65
1041,8,0.52
1042,14,0.9
1043,2,0.13
1051,1,0.06
1052,173,11.17
1053,25,1.61
1054,3,0.19
1056,5,0.32
1057,4,0.26
1058,64,4.13
1082,156,10.07
1400,63,4.07
1401,9,0.58
1402,915,59.07
1408,2,0.13
1409,2,0.13
1410,5,0.32
1412,98,6.33
1413,5,0.32
1414,307,19.82
1416,10,0.65
1419,10,0.65
2003,6,0.39
2010,2,0.13
2015,2,0.13
2031,446,28.79
2032,153,9.88
2033,3,0.19
2055,41,2.65
2303,1,0.06
3001,17,1.1
3006,10,0.65
3009,54,3.49
3010,8,0.52
3020,310,20.01
3022,6,0.39
3024,6,0.39
3025,31,2.0
3026,17,1.1
3027,1,0.06
3030,2,0.13
3031,11,0.71
3035,2,0.13
3036,4,0.26
3041,46,2.97
3044,18,1.16
3047,145,9.36
3050,1,0.06
3052,10,0.65
3053,3,0.19
3056,1,0.06
3057,174,11.23
3060,1,0.06
3065,8,0.52
3067,21,1.36
3068,3,0.19
3070,6,0.39
3071,7,0.45
3072,1,0.06
3074,7,0.45
3075,13,0.84
3076,5,0.32
3077,23,1.48
3078,83,5.36
3082,10,0.65
3083,3,0.19
3086,2,0.13
3087,11,0.71
3089,61,3.94
3091,3,0.19
3092,2,0.13
3098,2,0.13
3100,634,40.93
3101,12,0.77
3102,79,5.1
3105,2,0.13
3107,1,0.06
3108,51,3.29
3109,3,0.19
3110,2,0.13
3111,119,7.68
3113,110,7.1
3115,9,0.58
3116,294,18.98
3117,660,42.61
3123,3,0.19
3124,6,0.39
3133,11,0.71
3134,29,1.87
3135,53,3.42
3136,103,6.65
3139,3,0.19
3140,2,0.13
3142,21,1.36
3143,12,0.77
3144,23,1.48
3145,94,6.07
3146,276,17.82
3147,123,7.94
3151,276,17.82
3152,401,25.89
3153,22,1.42
3155,4,0.26
3156,7,0.45
3157,138,8.91
3158,69,4.45
3165,7,0.45
3174,1,0.06
3190,1,0.06
3191,47,3.03
3193,3,0.19
3194,3,0.19
3211,8,0.52
3285,17,1.1
3340,1252,80.83
3341,11,0.71
3363,140,9.04
3364,139,8.97
3371,1,0.06
3374,5,0.32
3379,1,0.06
3382,1,0.06
3383,1,0.06
3401,1,0.06
3504,2,0.13
3508,3,0.19
3512,3,0.19
3706,17,1.1
3715,9,0.58
3742,88,5.68
3748,62,4.0
3751,3,0.19
3800,4,0.26
3812,1,0.06
3814,7,0.45
