item,count,percentage
1001,394,7.65
1004,3,0.06
1006,1,0.02
1011,5,0.1
1018,68,1.32
1026,110,2.14
1027,64,1.24
1028,54,1.05
1029,57,1.11
1031,2,0.04
1033,44,0.85
1036,634,12.31
1037,267,5.18
1038,504,9.79
1041,5,0.1
1042,272,5.28
1043,252,4.89
1051,13,0.25
1052,111,2.16
1053,463,8.99
1054,121,2.35
1055,2226,43.22
1056,182,3.53
1057,3,0.06
1058,127,2.47
1082,47,0.91
1083,64,1.24
1400,30,0.58
1402,4,0.08
1408,4,0.08
1412,177,3.44
1413,1,0.02
1414,4,0.08
1416,2,0.04
1419,8,0.16
2003,122,2.37
2010,160,3.11
2015,13,0.25
2031,246,4.78
2032,8,0.16
2033,8,0.16
2045,2,0.04
2049,2,0.04
2053,1,0.02
2055,120,2.33
2139,1,0.02
2140,1,0.02
2301,14,0.27
2302,1,0.02
3001,3,0.06
3003,19,0.37
3004,825,16.02
3006,403,7.83
3009,22,0.43
3010,3,0.06
3020,294,5.71
3022,19,0.37
3024,59,1.15
3025,1021,19.83
3026,209,4.06
3027,12,0.23
3030,1,0.02
3031,421,8.17
3033,244,4.74
3034,73,1.42
3035,301,5.84
3036,701,13.61
3040,83,1.61
3041,36,0.7
3042,2656,51.57
3044,248,4.82
3046,39,0.76
3047,340,6.6
3052,16,0.31
3053,5,0.1
3057,454,8.82
3065,1,0.02
3067,5,0.1
3068,2,0.04
3070,458,8.89
3071,23,0.45
3072,408,7.92
3075,2,0.04
3078,2854,55.42
3082,2,0.04
3085,9,0.17
3086,30,0.58
3087,106,2.06
3089,124,2.41
3092,18,0.35
3094,15,0.29
3096,2,0.04
3097,2,0.04
3098,8,0.16
3100,349,6.78
3101,110,2.14
3102,20,0.39
3105,8,0.16
3107,2,0.04
3108,32,0.62
3109,2,0.04
3110,2,0.04
3111,136,2.64
3113,74,1.44
3115,11,0.21
3116,30,0.58
3117,6,0.12
3123,72,1.4
3124,11,0.21
3133,53,1.03
3134,34,0.66
3135,71,1.38
3136,10,0.19
3139,136,2.64
3140,156,3.03
3142,29,0.56
3143,1,0.02
3144,512,9.94
3145,45,0.87
3146,212,4.12
3147,104,2.02
3151,21,0.41
3152,11,0.21
3153,1866,36.23
3155,75,1.46
3156,53,1.03
3157,48,0.93
3158,3233,62.78
3165,111,2.16
3174,1,0.02
3190,1,0.02
3191,14,0.27
3194,1,0.02
3211,1,0.02
3285,174,3.38
3301,1,0.02
3302,3,0.06
3303,6,0.12
3340,3544,68.82
3341,4,0.08
3363,1515,29.42
3364,68,1.32
3371,7,0.14
3374,3,0.06
3380,2,0.04
3384,125,2.43
3504,1,0.02
3508,108,2.1
3512,1,0.02
3513,5,0.1
3706,3,0.06
3715,5,0.1
3742,2,0.04
3802,18,0.35
3812,39,0.76
3814,10,0.19
