item,count,percentage
1001,117,6.97
1004,2,0.12
1011,7,0.42
1026,372,22.17
1027,10,0.6
1028,92,5.48
1029,36,2.15
1031,2,0.12
1033,69,4.11
1038,1,0.06
1039,28,1.67
1041,2,0.12
1052,404,24.08
1056,172,10.25
1057,4,0.24
1058,209,12.46
1082,43,2.56
1401,2,0.12
1402,845,50.36
1410,57,3.4
1414,10,0.6
2003,23,1.37
2010,36,2.15
2031,225,13.41
2032,22,1.31
2033,8,0.48
2045,23,1.37
2049,60,3.58
2053,1,0.06
2055,92,5.48
2139,2,0.12
2301,107,6.38
2302,12,0.72
2303,1,0.06
3001,28,1.67
3003,4,0.24
3006,2,0.12
3009,4,0.24
3010,8,0.48
3020,1110,66.15
3022,1,0.06
3024,5,0.3
3026,3,0.18
3027,43,2.56
3030,6,0.36
3031,1,0.06
3033,1,0.06
3034,1,0.06
3041,21,1.25
3047,23,1.37
3050,7,0.42
3052,1,0.06
3060,1,0.06
3065,12,0.72
3067,26,1.55
3068,2,0.12
3069,4,0.24
3070,5,0.3
3075,6,0.36
3082,4,0.24
3083,1,0.06
3085,2,0.12
3087,1,0.06
3089,215,12.81
3092,127,7.57
3094,1,0.06
3096,6,0.36
3097,1,0.06
3098,36,2.15
3100,7,0.42
3102,211,12.57
3105,3,0.18
3107,11,0.66
3108,207,12.34
3109,8,0.48
3110,1,0.06
3111,29,1.73
3113,45,2.68
3114,4,0.24
3115,1,0.06
3116,364,21.69
3117,172,10.25
3133,1,0.06
3135,230,13.71
3136,105,6.26
3140,1,0.06
3143,3,0.18
3144,2,0.12
3145,32,1.91
3146,5,0.3
3147,1,0.06
3151,251,14.96
3152,179,10.67
3153,1,0.06
3155,1,0.06
3157,1299,77.41
3158,154,9.18
3165,316,18.83
3174,1,0.06
3190,8,0.48
3191,90,5.36
3193,2,0.12
3194,1,0.06
3211,11,0.66
3285,140,8.34
3301,3,0.18
3303,28,1.67
3340,989,58.94
3341,51,3.04
3363,57,3.4
3364,576,34.33
3374,8,0.48
3401,1,0.06
3504,4,0.24
3508,1,0.06
3512,2,0.12
3513,1,0.06
3706,27,1.61
3711,1,0.06
3715,1,0.06
3742,2,0.12
3751,1,0.06
3800,4,0.24
3801,5,0.3
3802,53,3.16
