item,count,percentage
1001,191,6.45
1006,7,0.24
1011,70,2.36
1018,4,0.14
1027,6,0.2
1028,186,6.28
1029,214,7.22
1031,67,2.26
1033,88,2.97
1036,478,16.14
1037,135,4.56
1038,288,9.72
1042,17,0.57
1043,5,0.17
1053,599,20.22
1054,272,9.18
1055,1234,41.66
1057,3,0.1
1083,7,0.24
1400,12,0.41
1401,1,0.03
1412,6,0.2
2003,115,3.88
2010,19,0.64
2031,213,7.19
2033,129,4.36
2049,2,0.07
2053,1,0.03
2055,79,2.67
2140,5,0.17
3001,2,0.07
3006,41,1.38
3009,51,1.72
3022,25,0.84
3024,5,0.17
3025,19,0.64
3026,477,16.1
3031,9,0.3
3033,22,0.74
3034,3,0.1
3035,3,0.1
3036,11,0.37
3044,302,10.2
3046,8,0.27
3047,1473,49.73
3052,31,1.05
3053,36,1.22
3057,51,1.72
3065,242,8.17
3067,204,6.89
3068,6,0.2
3069,1,0.03
3070,12,0.41
3071,1765,59.59
3072,303,10.23
3074,2374,80.15
3075,67,2.26
3076,35,1.18
3077,305,10.3
3078,441,14.89
3082,60,2.03
3083,3,0.1
3086,1,0.03
3087,5,0.17
3089,1,0.03
3097,1,0.03
3100,1,0.03
3101,28,0.95
3110,7,0.24
3111,1005,33.93
3117,5,0.17
3123,30,1.01
3133,233,7.87
3134,8,0.27
3139,41,1.38
3140,53,1.79
3142,10,0.34
3143,72,2.43
3144,6,0.2
3147,16,0.54
3153,15,0.51
3155,150,5.06
3156,200,6.75
3158,42,1.42
3193,5,0.17
3194,6,0.2
3211,97,3.27
3340,2617,88.35
3341,2,0.07
3363,265,8.95
3364,70,2.36
3371,1,0.03
3373,1,0.03
3380,14,0.47
3384,4,0.14
3508,4,0.14
3512,3,0.1
3742,101,3.41
3748,109,3.68
3802,1,0.03
3812,600,20.26
3814,2,0.07
