item,count,percentage
1001,254,7.55
1011,10,0.3
1018,2,0.06
1026,683,20.3
1027,42,1.25
1028,33,0.98
1029,84,2.5
1031,8,0.24
1033,76,2.26
1036,4,0.12
1037,2,0.06
1038,4,0.12
1039,1,0.03
1041,4,0.12
1042,13,0.39
1043,4,0.12
1052,667,19.83
1053,2,0.06
1054,8,0.24
1055,2,0.06
1056,1153,34.27
1057,10,0.3
1058,551,16.38
1082,373,11.09
1400,3,0.09
1401,1,0.03
1402,35,1.04
1410,2,0.06
1412,1,0.03
1413,6,0.18
1414,154,4.58
1416,1,0.03
1419,6,0.18
2003,85,2.53
2010,85,2.53
2031,132,3.92
2032,13,0.39
2033,497,14.77
2045,1,0.03
2055,50,1.49
2139,2,0.06
2301,1,0.03
3001,24,0.71
3006,1,0.03
3009,7,0.21
3010,8,0.24
3020,2389,71.02
3022,3,0.09
3024,8,0.24
3025,15,0.45
3026,22,0.65
3027,26,0.77
3028,1,0.03
3030,4,0.12
3033,1,0.03
3041,102,3.03
3044,4,0.12
3046,1,0.03
3047,109,3.24
3052,2,0.06
3053,2,0.06
3057,211,6.27
3065,10,0.3
3067,53,1.58
3068,20,0.59
3070,19,0.56
3072,1,0.03
3075,6,0.18
3076,8,0.24
3077,3,0.09
3078,48,1.43
3082,6,0.18
3083,3,0.09
3086,1,0.03
3087,1,0.03
3089,695,20.66
3091,1,0.03
3092,3,0.09
3096,1,0.03
3100,2745,81.6
3101,3,0.09
3102,375,11.15
3108,420,12.49
3110,3,0.09
3111,143,4.25
3113,161,4.79
3115,7,0.21
3116,13,0.39
3117,11,0.33
3124,3,0.09
3134,1,0.03
3135,519,15.43
3136,33,0.98
3139,1,0.03
3140,4,0.12
3143,2,0.06
3144,16,0.48
3145,109,3.24
3146,110,3.27
3147,3,0.09
3151,70,2.08
3152,1282,38.11
3153,8,0.24
3155,1,0.03
3156,1,0.03
3157,1862,55.35
3158,253,7.52
3165,465,13.82
3190,1,0.03
3191,241,7.16
3194,4,0.12
3211,5,0.15
3285,140,4.16
3303,1,0.03
3340,2809,83.5
3341,8,0.24
3363,315,9.36
3364,220,6.54
3374,21,0.62
3379,2,0.06
3384,1,0.03
3512,1,0.03
3513,2,0.06
3715,3,0.09
3742,10,0.3
3748,5,0.15
3751,6,0.18
3802,85,2.53
