item,count,percentage
1001,153,5.8
1004,4,0.15
1006,21,0.8
1011,175,6.64
1026,106,4.02
1027,35,1.33
1028,289,10.96
1029,251,9.52
1031,247,9.37
1033,166,6.3
1037,1,0.04
1038,3,0.11
1039,8,0.3
1041,2,0.08
1042,6,0.23
1052,58,2.2
1054,84,3.19
1055,2,0.08
1056,615,23.32
1057,178,6.75
1058,33,1.25
1082,176,6.67
1401,87,3.3
1402,50,1.9
1409,26,0.99
1410,3,0.11
1413,23,0.87
1414,4,0.15
2003,33,1.25
2010,26,0.99
2031,159,6.03
2032,18,0.68
2033,634,24.04
2045,27,1.02
2049,71,2.69
2053,3,0.11
2055,97,3.68
2138,2,0.08
2301,20,0.76
2302,9,0.34
2303,102,3.87
3001,625,23.7
3003,1,0.04
3006,2,0.08
3009,19,0.72
3010,100,3.79
3020,97,3.68
3024,150,5.69
3025,745,28.25
3026,6,0.23
3027,1111,42.13
3028,2,0.08
3030,26,0.99
3031,1,0.04
3040,3,0.11
3041,23,0.87
3047,1006,38.15
3050,10,0.38
3052,3,0.11
3053,1,0.04
3057,85,3.22
3060,9,0.34
3065,465,17.63
3067,142,5.38
3068,343,13.01
3069,6,0.23
3070,18,0.68
3075,442,16.76
3076,169,6.41
3077,4,0.15
3078,2,0.08
3082,228,8.65
3083,74,2.81
3087,3,0.11
3089,23,0.87
3091,1,0.04
3092,12,0.46
3096,5,0.19
3097,33,1.25
3098,5,0.19
3100,32,1.21
3102,247,9.37
3105,23,0.87
3107,23,0.87
3108,74,2.81
3109,107,4.06
3110,190,7.21
3111,1159,43.95
3113,13,0.49
3114,4,0.15
3115,1,0.04
3116,48,1.82
3117,42,1.59
3133,1,0.04
3135,12,0.46
3136,25,0.95
3143,458,17.37
3144,1,0.04
3145,13,0.49
3146,5,0.19
3147,1,0.04
3151,104,3.94
3152,51,1.93
3156,1,0.04
3157,56,2.12
3158,27,1.02
3165,22,0.83
3174,5,0.19
3190,90,3.41
3191,15,0.57
3193,432,16.38
3194,266,10.09
3211,187,7.09
3285,33,1.25
3301,2,0.08
3302,18,0.68
3303,3,0.11
3340,2074,78.65
3341,51,1.93
3363,247,9.37
3364,262,9.94
3373,10,0.38
3374,2,0.08
3379,8,0.3
3383,2,0.08
3401,127,4.82
3504,2,0.08
3512,22,0.83
3706,6,0.23
3715,1,0.04
3742,91,3.45
3748,1,0.04
3751,59,2.24
3800,105,3.98
3801,26,0.99
3802,2,0.08
