item,count,percentage
1001,355,8.76
1004,15,0.37
1006,4,0.1
1011,7,0.17
1018,336,8.29
1027,44,1.09
1028,33,0.81
1029,38,0.94
1031,10,0.25
1033,23,0.57
1036,446,11.01
1037,295,7.28
1038,542,13.38
1042,167,4.12
1043,1,0.02
1051,245,6.05
1052,1,0.02
1053,20,0.49
1054,55,1.36
1055,155,3.83
1056,521,12.86
1057,3,0.07
1058,1,0.02
1082,2,0.05
1083,100,2.47
1400,12,0.3
1412,2,0.05
2003,78,1.92
2010,40,0.99
2015,72,1.78
2031,570,14.07
2032,2,0.05
2033,253,6.24
2049,1,0.02
2053,1,0.02
2055,91,2.25
2301,2,0.05
2302,1,0.02
2303,2,0.05
3006,3,0.07
3009,360,8.88
3020,2,0.05
3022,2,0.05
3024,1,0.02
3025,7,0.17
3026,205,5.06
3031,2468,60.91
3033,284,7.01
3034,21,0.52
3035,222,5.48
3036,425,10.49
3042,1,0.02
3044,44,1.09
3046,807,19.92
3047,1094,27.0
3052,32,0.79
3053,164,4.05
3057,71,1.75
3065,54,1.33
3067,4,0.1
3068,2,0.05
3070,2,0.05
3071,9,0.22
3072,14,0.35
3074,3,0.07
3075,7,0.17
3076,5,0.12
3077,11,0.27
3078,3822,94.32
3082,7,0.17
3086,517,12.76
3087,1046,25.81
3094,10,0.25
3096,2,0.05
3097,2,0.05
3098,3,0.07
3100,3,0.07
3101,27,0.67
3107,1,0.02
3108,1,0.02
3109,1,0.02
3110,2,0.05
3111,482,11.9
3113,1,0.02
3114,1,0.02
3117,6,0.15
3123,57,1.41
3124,1,0.02
3133,251,6.19
3134,277,6.84
3139,4,0.1
3142,2267,55.95
3143,7,0.17
3144,1,0.02
3146,4,0.1
3147,331,8.17
3151,1,0.02
3153,5,0.12
3155,72,1.78
3156,108,2.67
3157,1,0.02
3158,1252,30.9
3190,2,0.05
3193,1,0.02
3194,6,0.15
3211,9,0.22
3252,1,0.02
3285,1,0.02
3302,3,0.07
3303,38,0.94
3340,2551,62.96
3341,6,0.15
3363,1396,34.45
3364,91,2.25
3371,21,0.52
3384,53,1.31
3508,234,5.77
3512,2,0.05
3706,2,0.05
3742,17,0.42
3748,23,0.57
3801,2,0.05
3802,1,0.02
3812,48,1.18
3814,33,0.81
