item,count,percentage
1001,331,8.8
1006,8,0.21
1011,505,13.43
1018,4,0.11
1026,4,0.11
1027,1,0.03
1028,552,14.68
1029,403,10.72
1031,382,10.16
1033,150,3.99
1036,194,5.16
1037,7,0.19
1038,26,0.69
1041,1,0.03
1042,28,0.74
1043,29,0.77
1051,1,0.03
1053,24,0.64
1054,444,11.81
1055,1650,43.87
1057,120,3.19
1058,1,0.03
1082,3,0.08
1083,10,0.27
1400,2,0.05
1401,4,0.11
1408,2,0.05
1413,2,0.05
1416,6,0.16
1419,7,0.19
2003,192,5.11
2010,13,0.35
2015,3,0.08
2031,267,7.1
2033,16,0.43
2045,2,0.05
2049,3,0.08
2053,2,0.05
2055,150,3.99
2138,1,0.03
2301,1,0.03
2302,2,0.05
2303,2,0.05
3001,5,0.13
3006,78,2.07
3009,90,2.39
3020,4,0.11
3022,2395,63.68
3024,4,0.11
3025,1,0.03
3026,77,2.05
3031,12,0.32
3033,10,0.27
3035,3,0.08
3036,1,0.03
3044,163,4.33
3046,10,0.27
3047,1986,52.81
3050,1,0.03
3052,362,9.63
3053,297,7.9
3056,1,0.03
3057,1,0.03
3060,1,0.03
3065,568,15.1
3067,248,6.59
3068,84,2.23
3070,1,0.03
3071,3065,81.49
3072,11,0.29
3074,1,0.03
3075,588,15.63
3076,295,7.84
3077,3,0.08
3078,37,0.98
3082,330,8.77
3083,55,1.46
3085,30,0.8
3086,11,0.29
3087,8,0.21
3089,1,0.03
3091,12,0.32
3092,1,0.03
3094,4,0.11
3096,1,0.03
3098,1,0.03
3101,10,0.27
3102,2,0.05
3105,16,0.43
3108,2,0.05
3109,17,0.45
3110,6,0.16
3111,1050,27.92
3113,1,0.03
3115,8,0.21
3117,13,0.35
3123,21,0.56
3124,14,0.37
3133,17,0.45
3134,8,0.21
3135,1,0.03
3136,1,0.03
3140,5,0.13
3142,11,0.29
3143,529,14.07
3144,44,1.17
3146,8,0.21
3147,6,0.16
3151,2,0.05
3153,138,3.67
3155,112,2.98
3156,91,2.42
3158,24,0.64
3190,27,0.72
3193,409,10.87
3194,128,3.4
3211,316,8.4
3285,1,0.03
3301,1,0.03
3302,3,0.08
3303,2,0.05
3340,3293,87.56
3341,4,0.11
3363,336,8.93
3364,119,3.16
3373,1,0.03
3380,30,0.8
3401,3,0.08
3512,19,0.51
3513,3,0.08
3706,1,0.03
3715,1,0.03
3742,756,20.1
3748,1,0.03
3751,21,0.56
3800,1,0.03
3801,7,0.19
3812,13,0.35
3814,1,0.03
