item,count,percentage
1001,375,6.05
1004,2,0.03
1006,28,0.45
1011,484,7.81
1026,204,3.29
1027,110,1.78
1028,691,11.15
1029,615,9.93
1031,650,10.49
1033,310,5.0
1036,2,0.03
1039,97,1.57
1041,6,0.1
1042,9,0.15
1043,6,0.1
1051,1,0.02
1052,220,3.55
1053,1,0.02
1054,64,1.03
1056,809,13.06
1057,389,6.28
1058,129,2.08
1082,198,3.2
1401,925,14.93
1402,1481,23.91
1408,1,0.02
1409,978,15.79
1410,390,6.3
1412,2,0.03
1413,362,5.84
1414,192,3.1
2003,134,2.16
2010,47,0.76
2031,1287,20.77
2032,122,1.97
2033,89,1.44
2045,22,0.36
2049,49,0.79
2053,7,0.11
2055,446,7.2
2138,1,0.02
2301,21,0.34
2302,8,0.13
2303,53,0.86
3001,604,9.75
3003,2,0.03
3009,55,0.89
3010,162,2.62
3020,714,11.53
3022,1,0.02
3024,402,6.49
3025,1904,30.73
3026,4,0.06
3027,415,6.7
3028,2,0.03
3030,16,0.26
3033,1,0.02
3040,1,0.02
3041,19,0.31
3046,1,0.02
3047,2192,35.38
3050,15,0.24
3052,2,0.03
3053,3,0.05
3056,2,0.03
3057,344,5.55
3060,4,0.06
3065,1685,27.2
3067,504,8.14
3068,303,4.89
3069,5,0.08
3070,12,0.19
3075,557,8.99
3076,317,5.12
3078,6,0.1
3082,259,4.18
3083,133,2.15
3086,1,0.02
3087,1,0.02
3089,146,2.36
3092,31,0.5
3096,6,0.1
3097,19,0.31
3098,15,0.24
3100,514,8.3
3101,1,0.02
3102,42,0.68
3105,104,1.68
3107,24,0.39
3108,60,0.97
3109,829,13.38
3110,212,3.42
3111,1485,23.97
3113,81,1.31
3114,4,0.06
3116,34,0.55
3117,267,4.31
3135,103,1.66
3136,90,1.45
3143,315,5.08
3144,2,0.03
3145,76,1.23
3146,9,0.15
3147,4,0.06
3151,260,4.2
3152,588,9.49
3157,164,2.65
3158,873,14.09
3165,167,2.7
3190,341,5.5
3191,38,0.61
3193,619,9.99
3194,126,2.03
3211,532,8.59
3285,64,1.03
3301,5,0.08
3302,14,0.23
3303,12,0.19
3340,3896,62.89
3341,162,2.62
3363,217,3.5
3364,1900,30.67
3373,7,0.11
3374,9,0.15
3379,11,0.18
3382,1,0.02
3383,19,0.31
3401,45,0.73
3504,6,0.1
3512,21,0.34
3513,5,0.08
3706,20,0.32
3711,10,0.16
3715,5,0.08
3742,883,14.25
3748,2,0.03
3751,76,1.23
3800,876,14.14
3801,156,2.52
3802,14,0.23
