item,count,percentage
1001,91,6.52
1006,1,0.07
1011,7,0.5
1018,21,1.51
1027,1,0.07
1028,31,2.22
1029,46,3.3
1031,2,0.14
1033,23,1.65
1036,219,15.7
1037,80,5.73
1038,105,7.53
1039,2,0.14
1041,39,2.8
1042,107,7.67
1043,4,0.29
1051,22,1.58
1053,163,11.68
1054,12,0.86
1055,107,7.67
1057,1,0.07
1083,1,0.07
1400,25,1.79
1408,16,1.15
1412,970,69.53
1419,2,0.14
2003,10,0.72
2010,12,0.86
2015,4,0.29
2031,355,25.45
2032,20,1.43
2033,11,0.79
2055,35,2.51
3006,629,45.09
3009,21,1.51
3022,12,0.86
3025,1,0.07
3026,133,9.53
3031,163,11.68
3033,23,1.65
3034,4,0.29
3035,30,2.15
3036,71,5.09
3044,51,3.66
3046,671,48.1
3047,366,26.24
3052,11,0.79
3053,42,3.01
3057,2,0.14
3060,1,0.07
3065,4,0.29
3067,30,2.15
3068,1,0.07
3069,1,0.07
3070,6,0.43
3071,319,22.87
3072,42,3.01
3075,3,0.22
3076,1,0.07
3078,8,0.57
3082,5,0.36
3083,1,0.07
3085,3,0.22
3086,96,6.88
3087,56,4.01
3091,2,0.14
3094,44,3.15
3101,1,0.07
3107,2,0.14
3109,1,0.07
3111,187,13.41
3117,10,0.72
3123,13,0.93
3124,1,0.07
3133,146,10.47
3134,105,7.53
3139,20,1.43
3140,11,0.79
3142,314,22.51
3143,6,0.43
3144,8,0.57
3147,433,31.04
3153,47,3.37
3155,98,7.03
3156,139,9.96
3158,4,0.29
3190,1,0.07
3193,1,0.07
3211,2,0.14
3340,1039,74.48
3341,8,0.57
3363,111,7.96
3364,231,16.56
3371,8,0.57
3380,18,1.29
3384,2,0.14
3401,1,0.07
3504,1,0.07
3508,26,1.86
3512,1,0.07
3513,2,0.14
3711,1,0.07
3715,15,1.08
3742,5,0.36
3751,1,0.07
3812,489,35.05
3814,42,3.01
