item,count,percentage
1001,105,5.43
1006,9,0.47
1011,234,12.09
1018,2,0.1
1026,1,0.05
1027,27,1.4
1028,210,10.85
1029,171,8.84
1031,228,11.78
1033,63,3.26
1036,178,9.2
1037,2,0.1
1038,24,1.24
1039,77,3.98
1041,3,0.16
1042,60,3.1
1043,1,0.05
1051,4,0.21
1053,6,0.31
1054,16,0.83
1055,1,0.05
1057,14,0.72
1400,129,6.67
1401,1047,54.11
1402,9,0.47
1408,3,0.16
1409,33,1.71
1412,33,1.71
1413,368,19.02
1414,3,0.16
1416,1,0.05
1419,1,0.05
2003,47,2.43
2010,5,0.26
2015,2,0.1
2031,342,17.67
2032,145,7.49
2033,19,0.98
2045,2,0.1
2053,1,0.05
2055,60,3.1
2303,1,0.05
3001,7,0.36
3006,1,0.05
3009,495,25.58
3010,1,0.05
3022,9,0.47
3024,28,1.45
3025,19,0.98
3026,33,1.71
3027,1,0.05
3031,10,0.52
3033,2,0.1
3044,141,7.29
3046,4,0.21
3047,834,43.1
3052,70,3.62
3053,183,9.46
3056,1,0.05
3057,128,6.61
3065,368,19.02
3067,93,4.81
3068,10,0.52
3069,2,0.1
3070,12,0.62
3071,22,1.14
3074,1,0.05
3075,111,5.74
3076,54,2.79
3077,6,0.31
3078,1468,75.87
3082,76,3.93
3083,12,0.62
3086,6,0.31
3087,13,0.67
3094,3,0.16
3097,1,0.05
3100,1,0.05
3101,63,3.26
3105,5,0.26
3108,1,0.05
3109,9,0.47
3110,64,3.31
3111,319,16.49
3113,1,0.05
3115,1,0.05
3117,96,4.96
3123,1,0.05
3124,2,0.1
3133,43,2.22
3134,62,3.2
3139,3,0.16
3142,191,9.87
3143,50,2.58
3144,1,0.05
3145,1,0.05
3146,6,0.31
3147,61,3.15
3152,2,0.1
3153,1,0.05
3155,36,1.86
3156,68,3.51
3158,9,0.47
3190,4,0.21
3193,36,1.86
3194,19,0.98
3211,158,8.17
3285,3,0.16
3340,1518,78.45
3341,31,1.6
3363,60,3.1
3364,319,16.49
3373,2,0.1
3384,34,1.76
3508,1,0.05
3512,5,0.26
3706,92,4.75
3711,6,0.31
3715,42,2.17
3742,621,32.09
3748,9,0.47
3751,40,2.07
3800,51,2.64
3801,15,0.78
3812,5,0.26
3814,7,0.36
