item,count,percentage
1001,124,7.69
1004,4,0.25
1006,2,0.12
1026,399,24.75
1027,7,0.43
1028,96,5.96
1029,38,2.36
1033,30,1.86
1038,1,0.06
1039,1,0.06
1052,339,21.03
1053,1,0.06
1054,4,0.25
1055,1,0.06
1056,820,50.87
1057,6,0.37
1058,225,13.96
1082,70,4.34
1083,1,0.06
1402,7,0.43
1414,1,0.06
2003,59,3.66
2010,84,5.21
2031,64,3.97
2032,1,0.06
2033,21,1.3
2045,1,0.06
2049,12,0.74
2053,5,0.31
2055,37,2.3
2139,2,0.12
2301,8,0.5
2302,2,0.12
3001,11,0.68
3003,5,0.31
3006,3,0.19
3009,14,0.87
3010,15,0.93
3020,1217,75.5
3022,1,0.06
3025,1,0.06
3026,2,0.12
3027,51,3.16
3030,44,2.73
3031,1,0.06
3040,6,0.37
3041,13,0.81
3044,1,0.06
3047,40,2.48
3056,2,0.12
3060,13,0.81
3065,6,0.37
3067,3,0.19
3068,1,0.06
3069,2,0.12
3070,8,0.5
3075,2,0.12
3076,1,0.06
3078,1,0.06
3082,1,0.06
3083,3,0.19
3086,2,0.12
3089,377,23.39
3092,24,1.49
3096,1,0.06
3098,5,0.31
3100,9,0.56
3101,1,0.06
3102,156,9.68
3105,2,0.12
3108,143,8.87
3110,1,0.06
3111,33,2.05
3113,28,1.74
3114,1,0.06
3115,3,0.19
3116,430,26.67
3117,8,0.5
3135,267,16.56
3136,163,10.11
3140,1,0.06
3143,1,0.06
3144,2,0.12
3145,14,0.87
3146,15,0.93
3147,1,0.06
3151,606,37.59
3152,5,0.31
3153,1,0.06
3157,926,57.44
3158,58,3.6
3165,1070,66.38
3174,4,0.25
3191,83,5.15
3193,1,0.06
3194,3,0.19
3211,2,0.12
3222,1,0.06
3285,88,5.46
3301,3,0.19
3303,5,0.31
3340,1336,82.88
3341,6,0.37
3363,191,11.85
3364,72,4.47
3374,20,1.24
3504,1,0.06
3512,40,2.48
3513,1,0.06
3742,2,0.12
3802,65,4.03
