item,count,percentage
1001,78,5.44
1004,3,0.21
1006,10,0.7
1011,120,8.37
1018,1,0.07
1027,17,1.19
1028,168,11.72
1029,81,5.65
1031,117,8.16
1033,45,3.14
1036,132,9.21
1037,39,2.72
1038,15,1.05
1042,6,0.42
1051,2,0.14
1052,1,0.07
1053,113,7.88
1054,111,7.74
1055,309,21.55
1056,3,0.21
1057,7,0.49
1401,4,0.28
1413,1,0.07
2003,36,2.51
2010,6,0.42
2031,36,2.51
2032,3,0.21
2033,302,21.06
2045,3,0.21
2049,3,0.21
2053,8,0.56
2055,22,1.53
2138,1,0.07
2302,1,0.07
2303,6,0.42
3001,4,0.28
3004,2,0.14
3006,4,0.28
3009,29,2.02
3010,4,0.28
3022,17,1.19
3024,15,1.05
3025,88,6.14
3026,46,3.21
3027,1,0.07
3031,7,0.49
3033,10,0.7
3034,2,0.14
3035,2,0.14
3036,2,0.14
3042,2,0.14
3044,62,4.32
3047,550,38.35
3050,1,0.07
3052,88,6.14
3053,529,36.89
3057,40,2.79
3065,440,30.68
3067,110,7.67
3068,31,2.16
3071,1106,77.13
3072,3,0.21
3074,7,0.49
3075,100,6.97
3076,45,3.14
3077,16,1.12
3078,171,11.92
3082,93,6.49
3083,24,1.67
3086,1,0.07
3091,2,0.14
3094,6,0.42
3097,3,0.21
3101,23,1.6
3105,3,0.21
3107,2,0.14
3109,4,0.28
3110,22,1.53
3111,648,45.19
3117,2,0.14
3123,9,0.63
3133,97,6.76
3134,6,0.42
3139,5,0.35
3140,8,0.56
3142,14,0.98
3143,181,12.62
3145,1,0.07
3147,11,0.77
3153,2,0.14
3155,17,1.19
3156,34,2.37
3158,16,1.12
3190,4,0.28
3191,1,0.07
3193,18,1.26
3194,9,0.63
3211,114,7.95
3301,1,0.07
3302,5,0.35
3340,1269,88.49
3341,5,0.35
3363,116,8.09
3364,40,2.79
3380,4,0.28
3383,1,0.07
3384,2,0.14
3401,5,0.35
3508,4,0.28
3512,9,0.63
3742,323,22.52
3748,33,2.3
3751,9,0.63
3800,4,0.28
3801,2,0.14
3812,565,39.4
3814,4,0.28
