item,count,percentage
1001,116,5.27
1006,6,0.27
1011,145,6.59
1018,2,0.09
1026,1,0.05
1027,18,0.82
1028,237,10.77
1029,212,9.63
1031,60,2.73
1033,72,3.27
1036,205,9.31
1037,10,0.45
1038,64,2.91
1041,3,0.14
1042,80,3.63
1043,97,4.41
1051,2,0.09
1053,70,3.18
1054,200,9.09
1055,202,9.18
1056,2,0.09
1057,23,1.04
1082,1,0.05
1083,9,0.41
1401,3,0.14
1412,6,0.27
1413,1,0.05
1416,10,0.45
1418,1,0.05
1419,45,2.04
2003,26,1.18
2010,4,0.18
2031,64,2.91
2032,4,0.18
2033,997,45.3
2055,51,2.32
2140,1,0.05
3001,1,0.05
3006,23,1.04
3009,22,1.0
3020,3,0.14
3022,35,1.59
3024,9,0.41
3025,3,0.14
3026,308,13.99
3028,3,0.14
3031,3,0.14
3033,4,0.18
3035,3,0.14
3036,3,0.14
3044,76,3.45
3046,10,0.45
3047,1352,61.43
3052,142,6.45
3053,364,16.54
3057,56,2.54
3065,339,15.4
3067,81,3.68
3068,16,0.73
3069,1,0.05
3070,17,0.77
3071,24,1.09
3072,8,0.36
3074,21,0.95
3075,164,7.45
3076,69,3.13
3077,95,4.32
3078,1982,90.05
3082,203,9.22
3083,7,0.32
3086,2,0.09
3087,12,0.55
3089,1,0.05
3091,32,1.45
3100,3,0.14
3101,31,1.41
3105,5,0.23
3108,1,0.05
3109,4,0.18
3110,45,2.04
3111,572,25.99
3115,1,0.05
3117,9,0.41
3123,21,0.95
3124,19,0.86
3133,55,2.5
3134,17,0.77
3140,15,0.68
3142,30,1.36
3143,525,23.85
3144,138,6.27
3146,6,0.27
3147,45,2.04
3153,590,26.81
3155,138,6.27
3156,169,7.68
3157,2,0.09
3158,10,0.45
3190,4,0.18
3191,2,0.09
3193,23,1.04
3194,41,1.86
3211,142,6.45
3302,2,0.09
3340,1917,87.1
3341,5,0.23
3363,180,8.18
3364,92,4.18
3384,19,0.86
3401,2,0.09
3504,1,0.05
3508,1,0.05
3512,2,0.09
3513,2,0.09
3715,2,0.09
3742,132,6.0
3748,338,15.36
3751,5,0.23
3800,3,0.14
3801,1,0.05
3812,30,1.36
3814,3,0.14
