item,count,percentage
1001,958,11.41
1004,556,6.62
1006,146,1.74
1011,73,0.87
1018,2,0.02
1026,115,1.37
1027,11,0.13
1028,314,3.74
1029,417,4.97
1031,76,0.91
1033,516,6.15
1036,1,0.01
1037,2,0.02
1038,5,0.06
1042,5,0.06
1043,1,0.01
1052,226,2.69
1053,2,0.02
1054,1,0.01
1055,6,0.07
1056,7,0.08
1057,26,0.31
1058,241,2.87
1082,166,1.98
1402,1,0.01
1412,1,0.01
1416,1,0.01
2003,17,0.2
2010,684,8.15
2011,5,0.06
2031,443,5.28
2033,10,0.12
2045,653,7.78
2049,2129,25.36
2053,124,1.48
2055,1134,13.51
2138,2,0.02
2301,100,1.19
2302,4082,48.62
2303,3,0.04
3001,5,0.06
3003,2,0.02
3006,8,0.1
3009,400,4.76
3010,6,0.07
3020,18,0.21
3022,2,0.02
3024,153,1.82
3025,3,0.04
3026,5,0.06
3027,11,0.13
3028,359,4.28
3030,4,0.05
3031,5,0.06
3035,1,0.01
3036,1,0.01
3040,5,0.06
3041,258,3.07
3046,2,0.02
3047,370,4.41
3050,197,2.35
3052,1,0.01
3056,4,0.05
3057,1,0.01
3060,27,0.32
3065,16,0.19
3067,97,1.16
3068,1,0.01
3069,1858,22.13
3070,27,0.32
3071,1,0.01
3072,2,0.02
3075,16,0.19
3076,16,0.19
3078,1,0.01
3082,149,1.77
3083,35,0.42
3085,4,0.05
3086,4,0.05
3087,4,0.05
3089,122,1.45
3092,66,0.79
3094,3,0.04
3096,1446,17.22
3098,33,0.39
3100,8,0.1
3101,2,0.02
3102,120,1.43
3105,553,6.59
3107,4943,58.88
3108,172,2.05
3109,233,2.78
3110,233,2.78
3111,313,3.73
3113,207,2.47
3114,1236,14.72
3115,2,0.02
3116,25,0.3
3117,4294,51.15
3124,1,0.01
3133,1,0.01
3134,1,0.01
3135,1,0.01
3136,5,0.06
3139,1,0.01
3143,39,0.46
3145,2,0.02
3146,3,0.04
3147,1,0.01
3151,3,0.04
3152,3,0.04
3153,7,0.08
3157,18,0.21
3158,1268,15.1
3165,16,0.19
3174,466,5.55
3190,1648,19.63
3191,7,0.08
3193,2,0.02
3194,6,0.07
3211,20,0.24
3222,991,11.8
3285,15,0.18
3301,612,7.29
3302,1,0.01
3303,31,0.37
3340,2171,25.86
3341,689,8.21
3363,99,1.18
3364,5419,64.55
3374,2,0.02
3382,119,1.42
3383,18,0.21
3401,4,0.05
3504,7249,86.35
3512,57,0.68
3711,1,0.01
3742,32,0.38
3751,2,0.02
3800,13,0.15
3801,658,7.84
3802,2,0.02
