item,count,percentage
1001,351,6.08
1006,26,0.45
1011,520,9.01
1018,3,0.05
1027,6,0.1
1028,719,12.46
1029,606,10.5
1031,595,10.31
1033,262,4.54
1036,410,7.1
1037,32,0.55
1038,164,2.84
1039,51,0.88
1041,37,0.64
1042,5,0.09
1043,1,0.02
1051,7,0.12
1053,44,0.76
1054,186,3.22
1055,81,1.4
1056,1,0.02
1057,219,3.79
1058,1,0.02
1083,4,0.07
1400,1538,26.65
1401,471,8.16
1408,88,1.52
1409,342,5.93
1412,532,9.22
1413,537,9.31
1416,3,0.05
1418,1,0.02
1419,2,0.03
2003,31,0.54
2010,9,0.16
2015,5,0.09
2031,1325,22.96
2032,168,2.91
2033,854,14.8
2045,13,0.23
2049,15,0.26
2053,3,0.05
2055,286,4.96
2138,1,0.02
2140,1,0.02
2302,1,0.02
2303,29,0.5
3001,20,0.35
3006,18,0.31
3009,85,1.47
3010,3,0.05
3020,3,0.05
3022,27,0.47
3024,19,0.33
3025,10,0.17
3026,544,9.43
3027,1,0.02
3031,32,0.55
3033,17,0.29
3034,2,0.03
3035,9,0.16
3036,12,0.21
3044,317,5.49
3046,6,0.1
3047,2522,43.7
3050,2,0.03
3052,265,4.59
3053,35,0.61
3057,18,0.31
3060,1,0.02
3065,402,6.97
3067,415,7.19
3068,96,1.66
3069,1,0.02
3070,6,0.1
3071,2972,51.5
3072,13,0.23
3074,309,5.35
3075,446,7.73
3076,268,4.64
3077,711,12.32
3078,68,1.18
3082,306,5.3
3083,84,1.46
3086,2,0.03
3087,20,0.35
3091,1,0.02
3092,1,0.02
3094,1,0.02
3097,10,0.17
3100,1,0.02
3101,6,0.1
3105,103,1.78
3107,3,0.05
3109,475,8.23
3110,37,0.64
3111,2319,40.18
3114,2,0.03
3117,208,3.6
3123,24,0.42
3133,119,2.06
3134,127,2.2
3139,6,0.1
3140,2,0.03
3142,327,5.67
3143,511,8.85
3144,3,0.05
3145,1,0.02
3146,1,0.02
3147,593,10.28
3153,8,0.14
3155,225,3.9
3156,222,3.85
3157,1,0.02
3158,38,0.66
3190,355,6.15
3193,835,14.47
3194,124,2.15
3211,230,3.99
3252,4,0.07
3285,1,0.02
3301,1,0.02
3302,14,0.24
3340,4080,70.7
3341,83,1.44
3363,247,4.28
3364,1340,23.22
3371,4,0.07
3379,1,0.02
3380,53,0.92
3383,7,0.12
3384,1,0.02
3401,39,0.68
3504,1,0.02
3508,4,0.07
3512,11,0.19
3513,7,0.12
3706,34,0.59
3711,8,0.14
3715,27,0.47
3742,1097,19.01
3748,2257,39.11
3751,38,0.66
3800,38,0.66
3801,25,0.43
3812,40,0.69
3814,53,0.92
