item,count,percentage
1001,268,8.68
1004,2,0.06
1011,9,0.29
1018,5,0.16
1027,4,0.13
1028,111,3.59
1029,153,4.95
1031,4,0.13
1033,45,1.46
1036,628,20.34
1037,70,2.27
1038,284,9.2
1042,15,0.49
1043,18,0.58
1051,1,0.03
1053,180,5.83
1054,94,3.04
1055,1310,42.42
1056,1,0.03
1057,2,0.06
1083,6,0.19
1400,11,0.36
1408,2,0.06
1412,8,0.26
1413,1,0.03
1416,1,0.03
2003,101,3.27
2010,25,0.81
2031,348,11.27
2032,1,0.03
2033,89,2.88
2045,1,0.03
2055,90,2.91
2140,1,0.03
3001,2,0.06
3004,90,2.91
3006,16,0.52
3009,86,2.78
3010,1,0.03
3022,13,0.42
3024,2,0.06
3025,5,0.16
3026,553,17.91
3031,24,0.78
3033,310,10.04
3034,47,1.52
3035,199,6.44
3036,345,11.17
3042,123,3.98
3044,250,8.1
3046,6,0.19
3047,1075,34.81
3052,18,0.58
3053,12,0.39
3057,12,0.39
3065,6,0.19
3067,159,5.15
3068,4,0.13
3069,1,0.03
3070,89,2.88
3071,1802,58.35
3072,237,7.67
3075,9,0.29
3076,15,0.49
3077,4,0.13
3078,92,2.98
3082,11,0.36
3083,3,0.1
3085,1,0.03
3086,3,0.1
3087,12,0.39
3094,2,0.06
3097,1,0.03
3101,6,0.19
3107,1,0.03
3110,1,0.03
3111,725,23.48
3117,10,0.32
3123,103,3.34
3133,228,7.38
3134,382,12.37
3139,23,0.74
3140,32,1.04
3142,2377,76.98
3143,10,0.32
3144,31,1.0
3146,1,0.03
3147,1444,46.76
3153,263,8.52
3155,255,8.26
3156,378,12.24
3158,784,25.39
3190,1,0.03
3193,3,0.1
3194,1,0.03
3211,6,0.19
3222,1,0.03
3252,2,0.06
3301,1,0.03
3302,1,0.03
3340,2409,78.01
3363,572,18.52
3364,100,3.24
3371,1,0.03
3380,23,0.74
3384,5,0.16
3401,2,0.06
3508,19,0.62
3512,1,0.03
3513,1,0.03
3715,1,0.03
3742,19,0.62
3748,2,0.06
3801,1,0.03
3812,132,4.27
3814,174,5.63
