item,count,percentage
1001,367,4.78
1004,1,0.01
1011,4,0.05
1018,177,2.31
1026,1,0.01
1027,1,0.01
1028,10,0.13
1029,137,1.78
1031,2,0.03
1033,52,0.68
1036,714,9.3
1037,327,4.26
1038,1470,19.15
1042,1023,13.33
1043,49,0.64
1051,247,3.22
1052,1,0.01
1053,1473,19.19
1054,195,2.54
1055,3606,46.97
1056,1,0.01
1083,133,1.73
1412,1,0.01
1419,2,0.03
2003,267,3.48
2010,333,4.34
2015,320,4.17
2031,205,2.67
2032,3,0.04
2033,4,0.05
2055,105,1.37
2138,1,0.01
2140,1,0.01
3006,6640,86.49
3009,11,0.14
3022,20,0.26
3026,769,10.02
3027,1,0.01
3031,6463,84.19
3033,269,3.5
3034,108,1.41
3035,358,4.66
3036,952,12.4
3044,11,0.14
3046,336,4.38
3047,167,2.18
3052,10,0.13
3053,5,0.07
3065,1,0.01
3067,4,0.05
3070,12,0.16
3071,5,0.07
3072,1970,25.66
3075,1,0.01
3078,5,0.07
3085,5942,77.4
3086,1055,13.74
3087,1359,17.7
3089,1,0.01
3091,2,0.03
3094,2288,29.8
3097,6,0.08
3098,1,0.01
3111,41,0.53
3113,1,0.01
3117,3,0.04
3123,108,1.41
3124,1,0.01
3133,18,0.23
3134,11,0.14
3139,336,4.38
3140,210,2.74
3142,13,0.17
3143,1,0.01
3144,103,1.34
3145,1,0.01
3147,18,0.23
3153,318,4.14
3155,45,0.59
3156,32,0.42
3157,1,0.01
3158,1,0.01
3190,1,0.01
3191,1,0.01
3211,1,0.01
3302,13,0.17
3340,5257,68.48
3341,1,0.01
3363,2364,30.79
3364,32,0.42
3371,157,2.05
3384,2,0.03
3401,2,0.03
3508,136,1.77
3512,1,0.01
3513,3,0.04
3742,5,0.07
3751,6,0.08
3812,60,0.78
3814,1,0.01
