item,count,percentage
1001,107,3.12
1011,26,0.76
1018,22,0.64
1026,1,0.03
1027,1,0.03
1028,21,0.61
1029,58,1.69
1031,1,0.03
1033,76,2.21
1036,378,11.01
1037,89,2.59
1038,483,14.07
1042,634,18.47
1043,115,3.35
1051,64,1.86
1053,514,14.97
1054,251,7.31
1055,1552,45.21
1057,4,0.12
1083,27,0.79
1416,1,0.03
1419,2,0.06
2003,108,3.15
2010,89,2.59
2011,1,0.03
2015,10,0.29
2031,174,5.07
2055,87,2.53
2140,1,0.03
2301,1,0.03
2302,1,0.03
2303,1,0.03
3006,3049,88.81
3009,8,0.23
3020,2,0.06
3022,108,3.15
3026,320,9.32
3031,197,5.74
3033,206,6.0
3034,38,1.11
3035,188,5.48
3036,298,8.68
3041,1,0.03
3044,8,0.23
3046,631,18.38
3047,104,3.03
3052,49,1.43
3053,20,0.58
3057,1,0.03
3060,1,0.03
3065,1,0.03
3067,2,0.06
3069,1,0.03
3070,14,0.41
3071,23,0.67
3072,629,18.32
3075,2,0.06
3076,1,0.03
3078,4,0.12
3082,3,0.09
3083,1,0.03
3085,2882,83.95
3086,355,10.34
3087,47,1.37
3091,12,0.35
3094,22,0.64
3096,1,0.03
3101,4,0.12
3102,1,0.03
3107,2,0.06
3111,14,0.41
3117,4,0.12
3123,102,2.97
3124,50,1.46
3133,24,0.7
3134,8,0.23
3139,373,10.87
3140,324,9.44
3142,6,0.17
3143,5,0.15
3144,74,2.16
3147,3,0.09
3153,3168,92.28
3155,85,2.48
3156,78,2.27
3158,2,0.06
3193,2,0.06
3194,1,0.03
3211,1,0.03
3302,3,0.09
3340,1789,52.11
3341,1,0.03
3363,1615,47.04
3364,18,0.52
3371,21,0.61
3380,3,0.09
3384,1,0.03
3401,1,0.03
3508,8,0.23
3513,1,0.03
3599,23,0.67
3812,52,1.51
3814,12,0.35
