item,count,percentage
1001,363,11.98
1004,154,5.08
1006,18,0.59
1011,7,0.23
1026,229,7.56
1027,30,0.99
1028,109,3.6
1029,115,3.8
1031,16,0.53
1033,153,5.05
1043,1,0.03
1052,336,11.09
1054,9,0.3
1055,1,0.03
1056,380,12.54
1057,15,0.5
1058,246,8.12
1082,57,1.88
1402,6,0.2
1410,2,0.07
2003,22,0.73
2010,223,7.36
2031,182,6.01
2032,4,0.13
2033,21,0.69
2045,178,5.87
2049,505,16.67
2053,13,0.43
2055,362,11.95
2139,1,0.03
2301,921,30.4
2302,300,9.9
3001,13,0.43
3003,3,0.1
3004,1,0.03
3009,84,2.77
3010,7,0.23
3020,1129,37.26
3024,20,0.66
3025,37,1.22
3026,1,0.03
3027,87,2.87
3028,68,2.24
3030,8,0.26
3040,10,0.33
3041,27,0.89
3047,163,5.38
3050,54,1.78
3056,1,0.03
3057,6,0.2
3060,9,0.3
3065,51,1.68
3067,24,0.79
3068,7,0.23
3069,66,2.18
3070,9,0.3
3075,7,0.23
3076,7,0.23
3078,4,0.13
3082,10,0.33
3083,9,0.3
3087,1,0.03
3089,259,8.55
3092,598,19.74
3096,95,3.14
3097,1,0.03
3098,192,6.34
3100,9,0.3
3101,1,0.03
3102,50,1.65
3105,191,6.3
3107,1074,35.45
3108,160,5.28
3109,30,0.99
3110,17,0.56
3111,149,4.92
3113,162,5.35
3114,334,11.02
3115,2,0.07
3116,76,2.51
3117,353,11.65
3135,50,1.65
3136,74,2.44
3142,1,0.03
3143,8,0.26
3145,4,0.13
3146,1,0.03
3151,167,5.51
3152,11,0.36
3157,119,3.93
3158,620,20.46
3165,627,20.69
3174,249,8.22
3190,521,17.19
3191,42,1.39
3193,2,0.07
3194,4,0.13
3211,17,0.56
3222,145,4.79
3285,245,8.09
3301,41,1.35
3303,117,3.86
3340,1247,41.16
3341,244,8.05
3363,165,5.45
3364,1368,45.15
3374,5,0.17
3382,24,0.79
3383,3,0.1
3401,2,0.07
3504,1876,61.91
3512,17,0.56
3742,5,0.17
3751,2,0.07
3800,5,0.17
3801,170,5.61
3802,85,2.81
