item,count,percentage
1001,198,6.77
1006,6,0.21
1011,3,0.1
1018,1,0.03
1026,571,19.52
1027,47,1.61
1028,17,0.58
1029,90,3.08
1031,4,0.14
1033,37,1.26
1036,2,0.07
1037,1,0.03
1038,1,0.03
1043,1,0.03
1052,488,16.68
1054,71,2.43
1055,1,0.03
1056,146,4.99
1057,7,0.24
1058,299,10.22
1082,979,33.47
1400,2,0.07
1402,4,0.14
1412,1,0.03
1413,1,0.03
1414,4,0.14
2003,14,0.48
2010,8,0.27
2015,6,0.21
2031,311,10.63
2032,1,0.03
2033,770,26.32
2055,92,3.15
2139,1,0.03
3001,31,1.06
3003,19,0.65
3009,11,0.38
3010,36,1.23
3020,741,25.33
3024,4,0.14
3025,14,0.48
3027,2659,90.91
3030,90,3.08
3040,33,1.13
3041,155,5.3
3042,2,0.07
3044,1,0.03
3047,265,9.06
3050,2,0.07
3057,311,10.63
3065,1,0.03
3067,1,0.03
3068,1,0.03
3070,44,1.5
3071,1,0.03
3075,3,0.1
3076,2,0.07
3078,2,0.07
3082,3,0.1
3083,2,0.07
3087,1,0.03
3089,317,10.84
3092,1,0.03
3100,2091,71.49
3101,1,0.03
3102,109,3.73
3107,1,0.03
3108,315,10.77
3110,2,0.07
3111,472,16.14
3113,234,8.0
3114,1,0.03
3115,8,0.27
3116,11,0.38
3117,1,0.03
3133,1,0.03
3134,2,0.07
3135,599,20.48
3136,19,0.65
3140,1,0.03
3143,2,0.07
3144,2,0.07
3145,22,0.75
3146,15,0.51
3147,1,0.03
3151,37,1.26
3152,16,0.55
3156,1,0.03
3157,1353,46.26
3158,1134,38.77
3165,286,9.78
3174,1,0.03
3191,269,9.2
3194,3,0.1
3211,1,0.03
3285,64,2.19
3303,3,0.1
3340,2244,76.72
3341,4,0.14
3363,485,16.58
3364,184,6.29
3374,18,0.62
3401,1,0.03
3512,1,0.03
3513,2,0.07
3742,1,0.03
3748,1,0.03
3801,1,0.03
3802,56,1.91
3812,1,0.03
