item,count,percentage
1001,230,6.99
1006,5,0.15
1011,4,0.12
1026,686,20.86
1027,1,0.03
1028,95,2.89
1029,109,3.31
1031,16,0.49
1033,95,2.89
1036,56,1.7
1038,11,0.33
1041,1,0.03
1042,2,0.06
1051,1,0.03
1052,709,21.56
1053,17,0.52
1054,277,8.42
1055,5,0.15
1056,15,0.46
1057,10,0.3
1058,539,16.39
1082,946,28.76
1402,10,0.3
1410,1,0.03
1414,4,0.12
2003,165,5.02
2010,47,1.43
2015,1,0.03
2031,430,13.07
2032,1,0.03
2033,11,0.33
2045,1,0.03
2055,74,2.25
2139,2,0.06
2301,1,0.03
2303,1,0.03
3001,13,0.4
3006,2,0.06
3009,7,0.21
3010,2,0.06
3020,2631,79.99
3022,1,0.03
3025,1,0.03
3026,102,3.1
3027,2,0.06
3031,3,0.09
3041,127,3.86
3047,102,3.1
3052,1,0.03
3057,2,0.06
3065,11,0.33
3067,5,0.15
3068,24,0.73
3070,6,0.18
3071,1,0.03
3072,1,0.03
3074,1,0.03
3075,5,0.15
3076,5,0.15
3077,2,0.06
3078,9,0.27
3082,3,0.09
3083,5,0.15
3086,7,0.21
3087,2,0.06
3089,587,17.85
3092,2,0.06
3100,4,0.12
3102,426,12.95
3108,222,6.75
3110,2,0.06
3111,156,4.74
3113,187,5.69
3115,5,0.15
3116,294,8.94
3117,16,0.49
3123,1,0.03
3124,1,0.03
3133,2,0.06
3134,2,0.06
3135,1001,30.43
3136,330,10.03
3139,3,0.09
3140,31,0.94
3143,8,0.24
3144,64,1.95
3145,105,3.19
3146,2872,87.32
3147,4,0.12
3151,639,19.43
3152,6,0.18
3153,1,0.03
3155,79,2.4
3156,20,0.61
3157,1438,43.72
3158,24,0.73
3165,7,0.21
3191,237,7.21
3193,2,0.06
3194,3,0.09
3211,6,0.18
3285,790,24.02
3302,1,0.03
3303,5,0.15
3340,2738,83.25
3341,3,0.09
3363,388,11.8
3364,151,4.59
3373,2,0.06
3374,27,0.82
3512,3,0.09
3513,1,0.03
3742,7,0.21
3751,10,0.3
3802,1,0.03
