item,count,percentage
1001,122,6.31
1004,42,2.17
1006,8,0.41
1011,11,0.57
1018,3,0.16
1026,295,15.25
1027,12,0.62
1028,40,2.07
1029,65,3.36
1031,22,1.14
1033,42,2.17
1036,12,0.62
1037,88,4.55
1038,17,0.88
1039,4,0.21
1041,1,0.05
1042,316,16.34
1043,282,14.58
1051,19,0.98
1052,127,6.57
1053,14,0.72
1054,7,0.36
1055,4,0.21
1056,754,38.99
1057,35,1.81
1058,84,4.34
1082,28,1.45
1083,7,0.36
1402,1,0.05
1412,1,0.05
1414,1,0.05
1416,58,3.0
1418,1,0.05
1419,65,3.36
2003,69,3.57
2010,32,1.65
2031,151,7.81
2032,8,0.41
2033,44,2.28
2045,14,0.72
2049,31,1.6
2053,2,0.1
2055,45,2.33
2139,1,0.05
2301,14,0.72
2302,49,2.53
2303,1,0.05
3001,1,0.05
3006,794,41.05
3009,30,1.55
3010,2,0.1
3020,69,3.57
3022,24,1.24
3024,13,0.67
3025,5,0.26
3026,55,2.84
3027,2,0.1
3028,23,1.19
3031,8,0.41
3033,2,0.1
3035,3,0.16
3040,1,0.05
3041,11,0.57
3044,2,0.1
3046,10,0.52
3047,134,6.93
3050,38,1.96
3052,6,0.31
3057,54,2.79
3060,1,0.05
3065,5,0.26
3067,27,1.4
3069,34,1.76
3070,2,0.1
3071,4,0.21
3072,2,0.1
3074,1,0.05
3075,2,0.1
3076,2,0.1
3078,13,0.67
3082,3,0.16
3083,2,0.1
3085,575,29.73
3086,107,5.53
3087,10,0.52
3089,98,5.07
3091,205,10.6
3092,22,1.14
3094,1,0.05
3096,31,1.6
3097,1,0.05
3098,14,0.72
3100,134,6.93
3101,67,3.46
3102,33,1.71
3105,31,1.6
3107,111,5.74
3108,87,4.5
3109,161,8.32
3111,85,4.4
3113,49,2.53
3114,46,2.38
3115,1388,71.77
3116,60,3.1
3117,34,1.76
3123,5,0.26
3124,958,49.53
3133,1,0.05
3135,61,3.15
3136,6,0.31
3139,6,0.31
3140,19,0.98
3143,2,0.1
3144,29,1.5
3145,13,0.67
3146,47,2.43
3151,13,0.67
3153,43,2.22
3155,1,0.05
3156,1,0.05
3157,72,3.72
3158,560,28.96
3165,9,0.47
3174,35,1.81
3190,59,3.05
3191,25,1.29
3193,2,0.1
3194,2,0.1
3211,1,0.05
3222,65,3.36
3285,6,0.31
3301,23,1.19
3302,4,0.21
3303,11,0.57
3340,1527,78.96
3341,15,0.78
3363,245,12.67
3364,137,7.08
3373,1,0.05
3374,4,0.21
3382,1,0.05
3384,2,0.1
3401,2,0.1
3504,391,20.22
3512,6,0.31
3513,2,0.1
3706,1,0.05
3715,2,0.1
3742,2,0.1
3800,1,0.05
3801,16,0.83
3802,2,0.1
3812,2,0.1
