item,count,percentage
1001,905,9.55
1004,1,0.01
1006,24,0.25
1011,363,3.83
1018,17,0.18
1027,4,0.04
1028,820,8.65
1029,698,7.36
1031,363,3.83
1033,239,2.52
1036,1390,14.66
1037,238,2.51
1038,408,4.3
1039,198,2.09
1041,40,0.42
1042,31,0.33
1043,8,0.08
1051,7,0.07
1052,1,0.01
1053,461,4.86
1054,434,4.58
1055,120,1.27
1056,2,0.02
1057,35,0.37
1083,2,0.02
1400,5213,54.99
1401,109,1.15
1402,1,0.01
1408,112,1.18
1409,8,0.08
1412,2012,21.22
1413,75,0.79
1416,13,0.14
1418,1,0.01
1419,8,0.08
2003,65,0.69
2010,13,0.14
2015,9,0.09
2031,2573,27.14
2032,734,7.74
2033,135,1.42
2045,1,0.01
2049,9,0.09
2053,1,0.01
2055,250,2.64
2140,4,0.04
2303,3,0.03
3001,4,0.04
3006,108,1.14
3009,352,3.71
3010,1,0.01
3020,12,0.13
3022,49,0.52
3024,11,0.12
3025,12,0.13
3026,1426,15.04
3031,83,0.88
3033,158,1.67
3034,18,0.19
3035,70,0.74
3036,84,0.89
3044,613,6.47
3046,36,0.38
3047,3453,36.42
3050,2,0.02
3052,260,2.74
3053,133,1.4
3057,27,0.28
3060,3,0.03
3065,1379,14.55
3067,700,7.38
3068,27,0.28
3070,28,0.3
3071,5571,58.77
3072,50,0.53
3074,157,1.66
3075,348,3.67
3076,197,2.08
3077,375,3.96
3078,122,1.29
3082,154,1.62
3083,19,0.2
3086,17,0.18
3087,128,1.35
3089,1,0.01
3091,1,0.01
3092,1,0.01
3094,1,0.01
3097,6,0.06
3101,7,0.07
3105,4,0.04
3107,1,0.01
3108,1,0.01
3109,24,0.25
3110,10,0.11
3111,2608,27.51
3114,1,0.01
3117,1426,15.04
3123,54,0.57
3133,798,8.42
3134,886,9.35
3139,94,0.99
3140,80,0.84
3142,1903,20.07
3143,209,2.2
3144,11,0.12
3146,3,0.03
3147,3613,38.11
3153,39,0.41
3155,248,2.62
3156,312,3.29
3158,174,1.84
3190,12,0.13
3191,1,0.01
3193,124,1.31
3194,16,0.17
3211,436,4.6
3252,10,0.11
3302,4,0.04
3340,7374,77.78
3341,92,0.97
3363,428,4.51
3364,1554,16.39
3371,8,0.08
3373,2,0.02
3379,1,0.01
3380,158,1.67
3382,1,0.01
3384,1,0.01
3401,3,0.03
3508,11,0.12
3512,5,0.05
3513,7,0.07
3706,96,1.01
3711,6,0.06
3715,53,0.56
3742,887,9.36
3748,855,9.02
3751,13,0.14
3800,7,0.07
3801,4,0.04
3812,1224,12.91
3814,462,4.87
