item,count,percentage
1001,99,5.57
1004,1,0.06
1006,1,0.06
1011,19,1.07
1018,4,0.23
1026,388,21.83
1028,74,4.16
1029,50,2.81
1033,32,1.8
1036,16,0.9
1037,16,0.9
1038,45,2.53
1042,66,3.71
1043,17,0.96
1051,12,0.68
1052,354,19.92
1053,17,0.96
1054,76,4.28
1055,644,36.24
1056,10,0.56
1057,10,0.56
1058,226,12.72
1082,28,1.58
1083,11,0.62
1402,1,0.06
1414,1,0.06
1419,4,0.23
2003,65,3.66
2010,32,1.8
2015,5,0.28
2031,91,5.12
2033,4,0.23
2045,5,0.28
2049,10,0.56
2055,76,4.28
2139,3,0.17
2301,54,3.04
2302,1,0.06
3001,6,0.34
3006,184,10.35
3009,10,0.56
3020,1088,61.23
3022,130,7.32
3024,2,0.11
3026,50,2.81
3027,3,0.17
3031,46,2.59
3033,5,0.28
3034,2,0.11
3035,7,0.39
3036,2,0.11
3041,4,0.23
3044,3,0.17
3046,43,2.42
3047,163,9.17
3050,4,0.23
3052,41,2.31
3057,1,0.06
3060,2,0.11
3065,1,0.06
3067,27,1.52
3069,4,0.23
3070,6,0.34
3071,7,0.39
3072,12,0.68
3075,3,0.17
3076,1,0.06
3078,1,0.06
3082,1,0.06
3083,1,0.06
3085,210,11.82
3086,45,2.53
3087,27,1.52
3089,330,18.57
3091,52,2.93
3092,21,1.18
3094,9,0.51
3096,2,0.11
3097,1,0.06
3098,5,0.28
3100,3,0.17
3101,4,0.23
3102,149,8.38
3105,2,0.11
3107,2,0.11
3108,112,6.3
3109,4,0.23
3111,84,4.73
3113,14,0.79
3115,16,0.9
3116,270,15.19
3117,18,1.01
3123,9,0.51
3124,36,2.03
3133,3,0.17
3135,346,19.47
3136,71,4.0
3139,3,0.17
3140,11,0.62
3142,1,0.06
3143,3,0.17
3144,11,0.62
3145,49,2.76
3146,68,3.83
3147,2,0.11
3151,259,14.58
3152,1138,64.04
3153,312,17.56
3155,7,0.39
3156,7,0.39
3157,1038,58.41
3158,52,2.93
3165,1,0.06
3190,6,0.34
3191,85,4.78
3194,2,0.11
3211,2,0.11
3285,77,4.33
3301,1,0.06
3302,3,0.17
3303,6,0.34
3340,1376,77.43
3341,13,0.73
3363,272,15.31
3364,112,6.3
3371,4,0.23
3374,10,0.56
3508,1,0.06
3512,2,0.11
3742,1,0.06
3800,23,1.29
3801,4,0.23
3812,4,0.23
