item,count,percentage
1001,56,5.06
1006,3,0.27
1011,2,0.18
1018,47,4.25
1028,23,2.08
1029,31,2.8
1031,2,0.18
1033,5,0.45
1036,91,8.23
1037,83,7.5
1038,181,16.37
1039,5,0.45
1041,21,1.9
1042,139,12.57
1043,38,3.44
1051,36,3.25
1053,55,4.97
1054,2,0.18
1055,53,4.79
1057,4,0.36
1083,1,0.09
1400,16,1.45
1408,5,0.45
1412,691,62.48
1413,1,0.09
1416,21,1.9
1418,3,0.27
1419,204,18.44
2003,5,0.45
2010,3,0.27
2015,53,4.79
2031,357,32.28
2032,66,5.97
2033,3,0.27
2049,1,0.09
2055,37,3.35
2302,1,0.09
2303,1,0.09
3006,829,74.95
3009,19,1.72
3010,1,0.09
3020,1,0.09
3022,33,2.98
3025,1,0.09
3026,91,8.23
3031,384,34.72
3033,18,1.63
3034,12,1.08
3035,20,1.81
3036,37,3.35
3044,53,4.79
3046,60,5.42
3047,101,9.13
3050,1,0.09
3052,15,1.36
3053,8,0.72
3057,3,0.27
3065,2,0.18
3067,32,2.89
3069,2,0.18
3071,188,17.0
3072,28,2.53
3075,6,0.54
3076,1,0.09
3078,19,1.72
3082,1,0.09
3085,235,21.25
3086,107,9.67
3087,539,48.73
3091,8,0.72
3094,160,14.47
3097,2,0.18
3107,2,0.18
3109,1,0.09
3110,1,0.09
3111,43,3.89
3117,14,1.27
3123,9,0.81
3124,5,0.45
3133,22,1.99
3134,4,0.36
3139,1,0.09
3140,7,0.63
3142,19,1.72
3143,2,0.18
3144,49,4.43
3147,21,1.9
3153,204,18.44
3155,21,1.9
3156,28,2.53
3158,1,0.09
3190,1,0.09
3211,1,0.09
3252,1,0.09
3340,833,75.32
3341,18,1.63
3363,104,9.4
3364,145,13.11
3371,13,1.18
3380,2,0.18
3384,4,0.36
3508,15,1.36
3513,6,0.54
3706,1,0.09
3711,1,0.09
3715,22,1.99
3742,3,0.27
3812,25,2.26
3814,2,0.18
