item,count,percentage
1001,127,7.41
1006,6,0.35
1011,73,4.26
1028,206,12.03
1029,200,11.68
1031,93,5.43
1033,54,3.15
1036,202,11.79
1037,15,0.88
1038,84,4.9
1041,3,0.18
1042,9,0.53
1043,8,0.47
1051,1,0.06
1053,56,3.27
1054,250,14.59
1055,675,39.4
1057,14,0.82
1400,5,0.29
1401,5,0.29
1408,1,0.06
1412,36,2.1
1413,12,0.7
1419,1,0.06
2003,72,4.2
2010,6,0.35
2015,1,0.06
2031,162,9.46
2032,5,0.29
2033,7,0.41
2049,3,0.18
2055,45,2.63
2303,2,0.12
3001,1,0.06
3006,26,1.52
3009,28,1.63
3022,13,0.76
3026,356,20.78
3031,5,0.29
3033,6,0.35
3034,1,0.06
3035,3,0.18
3036,3,0.18
3044,114,6.65
3046,7,0.41
3047,854,49.85
3050,1,0.06
3052,163,9.52
3053,210,12.26
3057,2,0.12
3065,157,9.17
3067,121,7.06
3068,18,1.05
3071,1306,76.24
3072,3,0.18
3074,101,5.9
3075,129,7.53
3076,68,3.97
3077,215,12.55
3078,6,0.35
3082,46,2.69
3083,10,0.58
3086,6,0.35
3087,8,0.47
3094,1,0.06
3097,3,0.18
3101,2,0.12
3105,1,0.06
3107,1,0.06
3109,3,0.18
3110,3,0.18
3111,573,33.45
3117,6,0.35
3123,15,0.88
3124,1,0.06
3133,56,3.27
3134,26,1.52
3139,2,0.12
3140,4,0.23
3142,63,3.68
3143,91,5.31
3144,13,0.76
3147,18,1.05
3153,34,1.98
3155,80,4.67
3156,110,6.42
3158,7,0.41
3190,5,0.29
3193,56,3.27
3194,15,0.88
3211,69,4.03
3285,1,0.06
3302,1,0.06
3340,1514,88.38
3341,3,0.18
3363,133,7.76
3364,56,3.27
3380,11,0.64
3384,1,0.06
3401,3,0.18
3508,1,0.06
3512,3,0.18
3715,3,0.18
3742,100,5.84
3748,1259,73.5
3751,7,0.41
3800,4,0.23
3801,2,0.12
3812,52,3.04
3814,2,0.12
