item,count,percentage
1001,175,8.09
1004,1,0.05
1026,431,19.92
1027,7,0.32
1028,10,0.46
1029,33,1.52
1033,85,3.93
1036,15,0.69
1038,1,0.05
1042,8,0.37
1051,1,0.05
1052,431,19.92
1053,17,0.79
1054,4,0.18
1055,1,0.05
1056,917,42.38
1057,4,0.18
1058,371,17.14
1082,626,28.93
1083,1,0.05
1402,1,0.05
2003,58,2.68
2010,49,2.26
2031,139,6.42
2032,1,0.05
2033,292,13.49
2049,6,0.28
2053,1,0.05
2055,71,3.28
2139,2,0.09
2301,1,0.05
3001,11,0.51
3003,1,0.05
3006,6,0.28
3009,3,0.14
3010,5,0.23
3020,1597,73.8
3022,1,0.05
3026,1,0.05
3027,19,0.88
3030,4,0.18
3031,8,0.37
3036,1,0.05
3041,92,4.25
3046,2,0.09
3047,53,2.45
3057,52,2.4
3060,1,0.05
3067,6,0.28
3068,1,0.05
3069,1,0.05
3070,18,0.83
3072,1,0.05
3075,1,0.05
3078,3,0.14
3083,3,0.14
3085,2,0.09
3086,1,0.05
3087,7,0.32
3089,287,13.26
3092,11,0.51
3094,1,0.05
3098,2,0.09
3100,211,9.75
3102,419,19.36
3108,298,13.77
3111,170,7.86
3113,147,6.79
3116,38,1.76
3117,6,0.28
3124,2,0.09
3133,1,0.05
3134,1,0.05
3135,447,20.66
3136,48,2.22
3140,14,0.65
3144,38,1.76
3145,79,3.65
3146,1458,67.38
3151,89,4.11
3152,42,1.94
3153,3,0.14
3157,396,18.3
3158,48,2.22
3165,1026,47.41
3174,2,0.09
3191,128,5.91
3194,2,0.09
3285,361,16.68
3303,3,0.14
3340,1565,72.32
3341,6,0.28
3363,384,17.74
3364,202,9.33
3374,17,0.79
3508,2,0.09
3706,1,0.05
3742,1,0.05
3802,108,4.99
3812,1,0.05
