item,count,percentage
1001,316,6.59
1004,24,0.5
1006,33,0.69
1011,297,6.2
1018,1,0.02
1026,2,0.04
1027,80,1.67
1028,464,9.68
1029,595,12.41
1031,446,9.31
1033,351,7.32
1036,16,0.33
1037,2,0.04
1038,4,0.08
1039,1,0.02
1041,1,0.02
1042,5,0.1
1043,3,0.06
1052,4,0.08
1053,6,0.13
1054,16,0.33
1055,5,0.1
1056,4,0.08
1057,197,4.11
1058,1,0.02
1082,2,0.04
1400,4,0.08
1401,21,0.44
1402,4,0.08
1409,6,0.13
1412,2,0.04
1413,17,0.35
1414,1,0.02
1416,2,0.04
2003,42,0.88
2010,334,6.97
2015,1,0.02
2031,191,3.98
2032,8,0.17
2033,11,0.23
2045,895,18.67
2049,1818,37.93
2053,28,0.58
2055,417,8.7
2138,5,0.1
2302,16,0.33
2303,1066,22.24
3001,45,0.94
3006,5,0.1
3009,180,3.76
3010,21,0.44
3020,5,0.1
3022,9,0.19
3024,360,7.51
3025,464,9.68
3026,5,0.1
3027,6,0.13
3028,5,0.1
3030,1,0.02
3031,4,0.08
3041,1,0.02
3044,8,0.17
3046,1,0.02
3047,798,16.65
3050,445,9.28
3052,14,0.29
3053,7,0.15
3056,4,0.08
3057,123,2.57
3060,11,0.23
3065,123,2.57
3067,305,6.36
3068,279,5.82
3069,23,0.48
3070,4,0.08
3071,5,0.1
3074,9,0.19
3075,270,5.63
3076,169,3.53
3077,20,0.42
3078,34,0.71
3082,337,7.03
3083,143,2.98
3086,2,0.04
3087,5,0.1
3089,1,0.02
3091,2,0.04
3094,1,0.02
3096,9,0.19
3097,334,6.97
3100,1,0.02
3101,1,0.02
3102,13,0.27
3105,396,8.26
3107,465,9.7
3108,8,0.17
3109,932,19.45
3110,163,3.4
3111,651,13.58
3113,2,0.04
3114,72,1.5
3115,2,0.04
3116,5,0.1
3117,2587,53.97
3123,1,0.02
3133,3,0.06
3134,2,0.04
3135,1,0.02
3142,1,0.02
3143,493,10.29
3144,1,0.02
3145,2,0.04
3146,4,0.08
3147,2,0.04
3151,4,0.08
3152,3,0.06
3153,1,0.02
3155,3,0.06
3156,3,0.06
3157,5,0.1
3158,70,1.46
3165,2,0.04
3190,2257,47.09
3191,2,0.04
3193,352,7.34
3194,49,1.02
3211,81,1.69
3222,12,0.25
3285,1,0.02
3301,7,0.15
3302,181,3.78
3303,3,0.06
3340,1729,36.07
3341,694,14.48
3363,58,1.21
3364,2299,47.97
3373,14,0.29
3379,1,0.02
3382,8,0.17
3383,54,1.13
3384,1,0.02
3401,2960,61.76
3504,29,0.61
3512,65,1.36
3715,1,0.02
3742,145,3.03
3748,33,0.69
3751,115,2.4
3800,385,8.03
3801,254,5.3
3812,2,0.04
