item,count,percentage
1001,57,5.33
1026,263,24.58
1027,2,0.19
1028,32,2.99
1029,13,1.21
1033,37,3.46
1052,207,19.35
1054,4,0.37
1055,1,0.09
1056,552,51.59
1057,3,0.28
1058,180,16.82
1082,32,2.99
1083,1,0.09
1413,1,0.09
2003,22,2.06
2010,45,4.21
2031,45,4.21
2033,15,1.4
2049,5,0.47
2055,36,3.36
2139,2,0.19
2301,7,0.65
2302,1,0.09
3001,21,1.96
3003,5,0.47
3006,2,0.19
3009,3,0.28
3010,15,1.4
3020,791,73.93
3027,720,67.29
3030,17,1.59
3040,2,0.19
3041,5,0.47
3047,40,3.74
3050,2,0.19
3057,2,0.19
3065,2,0.19
3067,19,1.78
3069,1,0.09
3070,6,0.56
3075,1,0.09
3086,1,0.09
3089,210,19.63
3092,9,0.84
3098,1,0.09
3100,2,0.19
3102,143,13.36
3107,1,0.09
3108,130,12.15
3111,41,3.83
3113,15,1.4
3115,2,0.19
3116,21,1.96
3117,7,0.65
3124,1,0.09
3135,203,18.97
3136,67,6.26
3140,1,0.09
3143,1,0.09
3145,24,2.24
3146,1,0.09
3151,285,26.64
3152,296,27.66
3157,666,62.24
3158,91,8.5
3165,212,19.81
3174,2,0.19
3191,88,8.22
3194,2,0.19
3222,1,0.09
3285,52,4.86
3303,1,0.09
3340,806,75.33
3363,209,19.53
3364,54,5.05
3374,8,0.75
3379,2,0.19
3504,4,0.37
3801,1,0.09
3802,21,1.96
