item,count,percentage
1001,531,6.64
1006,1,0.01
1011,4,0.05
1018,335,4.19
1026,4,0.05
1027,6,0.08
1028,118,1.48
1029,128,1.6
1031,3,0.04
1033,88,1.1
1036,757,9.46
1037,563,7.04
1038,1412,17.65
1041,2,0.03
1042,768,9.6
1043,91,1.14
1051,183,2.29
1052,4,0.05
1053,727,9.09
1054,318,3.98
1055,3714,46.44
1056,12,0.15
1057,1,0.01
1058,3,0.04
1083,68,0.85
1400,2,0.03
1412,20,0.25
1416,2,0.03
1419,2,0.03
2003,230,2.88
2010,237,2.96
2015,267,3.34
2031,468,5.85
2032,1,0.01
2033,12,0.15
2049,2,0.03
2053,1,0.01
2055,180,2.25
2139,1,0.01
2140,4,0.05
3004,8,0.1
3006,5079,63.5
3009,44,0.55
3020,13,0.16
3022,20,0.25
3025,4,0.05
3026,628,7.85
3027,1,0.01
3031,2988,37.36
3033,238,2.98
3034,82,1.03
3035,347,4.34
3036,603,7.54
3042,7,0.09
3044,356,4.45
3046,1569,19.62
3047,1111,13.89
3050,1,0.01
3052,13,0.16
3053,10,0.13
3057,16,0.2
3067,191,2.39
3068,2,0.03
3070,22,0.28
3071,2430,30.38
3072,622,7.78
3075,2,0.03
3076,3,0.04
3078,60,0.75
3082,3,0.04
3085,23,0.29
3086,760,9.5
3087,1709,21.37
3089,3,0.04
3091,6,0.08
3094,2119,26.49
3097,6,0.08
3098,2,0.03
3100,10,0.13
3101,5,0.06
3102,1,0.01
3108,2,0.03
3110,1,0.01
3111,458,5.73
3113,5,0.06
3115,4,0.05
3116,1,0.01
3117,7,0.09
3123,141,1.76
3124,4,0.05
3133,244,3.05
3134,73,0.91
3135,1,0.01
3136,1,0.01
3139,268,3.35
3140,260,3.25
3142,500,6.25
3143,2,0.03
3144,177,2.21
3145,1,0.01
3146,12,0.15
3147,276,3.45
3152,3,0.04
3153,4110,51.39
3155,261,3.26
3156,180,2.25
3157,2,0.03
3158,349,4.36
3165,3,0.04
3174,1,0.01
3191,2,0.03
3193,2,0.03
3211,4,0.05
3285,11,0.14
3302,4,0.05
3340,4919,61.5
3341,2,0.03
3363,2968,37.11
3364,89,1.11
3371,82,1.03
3374,1,0.01
3380,36,0.45
3384,2,0.03
3401,1,0.01
3508,3096,38.71
3513,1,0.01
3715,1,0.01
3742,3,0.04
3812,164,2.05
3814,52,0.65
