item,count,percentage
1001,556,7.98
1004,27,0.39
1006,2,0.03
1011,1,0.01
1026,1416,20.33
1027,47,0.67
1028,43,0.62
1029,131,1.88
1031,2,0.03
1033,134,1.92
1036,1,0.01
1038,2,0.03
1042,2,0.03
1052,1429,20.52
1054,1,0.01
1055,5,0.07
1056,3159,45.36
1057,5,0.07
1058,1722,24.72
1082,314,4.51
1402,4,0.06
1410,1,0.01
2003,184,2.64
2010,536,7.7
2031,255,3.66
2032,9,0.13
2033,52,0.75
2045,68,0.98
2049,233,3.35
2053,2,0.03
2055,198,2.84
2139,2,0.03
2301,385,5.53
2302,103,1.48
3001,13,0.19
3003,31,0.45
3006,5,0.07
3009,27,0.39
3010,12,0.17
3020,5375,77.17
3025,3,0.04
3026,6,0.09
3027,79,1.13
3028,36,0.52
3030,10,0.14
3031,1,0.01
3040,47,0.67
3041,312,4.48
3047,50,0.72
3050,4,0.06
3052,1,0.01
3057,96,1.38
3060,1,0.01
3065,1,0.01
3067,2,0.03
3068,2,0.03
3069,20,0.29
3070,45,0.65
3075,1,0.01
3078,2,0.03
3082,1,0.01
3083,1,0.01
3085,2,0.03
3086,1,0.01
3087,2,0.03
3089,1722,24.72
3091,1,0.01
3092,618,8.87
3096,26,0.37
3097,1,0.01
3098,147,2.11
3100,266,3.82
3101,3,0.04
3102,581,8.34
3105,7,0.1
3107,116,1.67
3108,690,9.91
3109,2,0.03
3110,2,0.03
3111,97,1.39
3113,714,10.25
3114,32,0.46
3115,24,0.34
3116,79,1.13
3117,84,1.21
3123,1,0.01
3134,1,0.01
3135,1189,17.07
3136,100,1.44
3140,1,0.01
3143,1,0.01
3145,6,0.09
3146,4,0.06
3151,233,3.35
3152,5,0.07
3155,1,0.01
3157,1551,22.27
3158,372,5.34
3165,5406,77.62
3174,199,2.86
3190,25,0.36
3191,395,5.67
3193,2,0.03
3194,1,0.01
3211,2,0.03
3222,15,0.22
3285,3719,53.4
3301,37,0.53
3302,4,0.06
3303,158,2.27
3340,5121,73.52
3341,123,1.77
3363,1216,17.46
3364,481,6.91
3374,89,1.28
3379,1,0.01
3382,8,0.11
3383,3,0.04
3504,220,3.16
3508,1,0.01
3512,3,0.04
3742,1,0.01
3801,12,0.17
3802,402,5.77
