item,count,percentage
1001,178,4.92
1004,7,0.19
1006,1,0.03
1026,991,27.38
1027,10,0.28
1028,226,6.24
1029,39,1.08
1033,60,1.66
1037,1,0.03
1052,703,19.42
1053,1,0.03
1054,2,0.06
1056,1814,50.11
1057,23,0.64
1058,461,12.73
1082,126,3.48
1400,1,0.03
1402,7,0.19
1410,1,0.03
1414,15,0.41
2003,126,3.48
2010,140,3.87
2031,150,4.14
2032,5,0.14
2033,32,0.88
2045,16,0.44
2049,41,1.13
2055,106,2.93
2139,5,0.14
2301,92,2.54
2302,11,0.3
3001,72,1.99
3003,8,0.22
3004,1,0.03
3009,19,0.52
3010,15,0.41
3020,1611,44.5
3022,1,0.03
3024,1,0.03
3025,1,0.03
3026,6,0.17
3027,233,6.44
3028,24,0.66
3030,4,0.11
3040,13,0.36
3041,17,0.47
3042,2,0.06
3046,1,0.03
3047,100,2.76
3050,3,0.08
3060,2,0.06
3065,1,0.03
3067,1,0.03
3069,1,0.03
3070,29,0.8
3075,3,0.08
3083,1,0.03
3089,673,18.59
3091,1,0.03
3092,99,2.73
3096,1,0.03
3098,27,0.75
3100,4,0.11
3102,245,6.77
3107,15,0.41
3108,208,5.75
3110,1,0.03
3111,109,3.01
3113,17,0.47
3115,1,0.03
3116,2174,60.06
3117,17,0.47
3133,1,0.03
3135,697,19.25
3136,393,10.86
3140,1,0.03
3143,1,0.03
3145,4,0.11
3146,11,0.3
3151,2060,56.91
3152,5,0.14
3157,570,15.75
3158,1447,39.97
3165,2925,80.8
3174,28,0.77
3190,4,0.11
3191,147,4.06
3194,2,0.06
3211,2,0.06
3222,1,0.03
3285,104,2.87
3301,5,0.14
3302,1,0.03
3303,18,0.5
3340,2716,75.03
3341,24,0.66
3363,613,16.93
3364,258,7.13
3374,25,0.69
3379,3,0.08
3382,2,0.06
3512,9,0.25
3706,1,0.03
3715,1,0.03
3742,2,0.06
3801,1,0.03
3802,103,2.85
