item,count,percentage
1001,393,6.86
1004,1,0.02
1006,10,0.17
1011,292,5.1
1018,160,2.79
1026,66,1.15
1027,2,0.03
1028,241,4.21
1029,224,3.91
1031,155,2.71
1033,84,1.47
1036,563,9.83
1037,420,7.33
1038,510,8.9
1039,3,0.05
1041,172,3.0
1042,623,10.88
1043,587,10.25
1051,75,1.31
1052,1,0.02
1053,365,6.37
1054,20,0.35
1055,171,2.99
1056,1,0.02
1057,13,0.23
1083,2,0.03
1400,26,0.45
1401,1,0.02
1412,112,1.96
1413,7,0.12
1416,200,3.49
1418,8,0.14
1419,4433,77.39
2003,162,2.83
2010,29,0.51
2015,62,1.08
2031,808,14.11
2032,66,1.15
2033,23,0.4
2053,1,0.02
2055,90,1.57
2138,2,0.03
2140,5,0.09
3001,3,0.05
3006,3306,57.72
3009,64,1.12
3020,1,0.02
3022,433,7.56
3024,2,0.03
3025,2,0.03
3026,615,10.74
3027,1,0.02
3031,1106,19.31
3033,41,0.72
3034,8,0.14
3035,33,0.58
3036,55,0.96
3044,37,0.65
3046,1014,17.7
3047,987,17.23
3052,213,3.72
3053,75,1.31
3056,3,0.05
3057,5,0.09
3065,110,1.92
3067,41,0.72
3068,3,0.05
3070,20,0.35
3071,146,2.55
3072,319,5.57
3074,46,0.8
3075,55,0.96
3076,31,0.54
3077,75,1.31
3078,58,1.01
3082,53,0.93
3083,7,0.12
3086,269,4.7
3087,1015,17.72
3089,4,0.07
3091,73,1.27
3094,3,0.05
3097,2,0.03
3101,11,0.19
3102,2,0.03
3105,1,0.02
3108,1,0.02
3109,3,0.05
3110,5,0.09
3111,512,8.94
3115,2,0.03
3117,30,0.52
3123,17,0.3
3124,1256,21.93
3133,199,3.47
3134,165,2.88
3135,1,0.02
3139,123,2.15
3140,123,2.15
3142,536,9.36
3143,94,1.64
3144,310,5.41
3145,1,0.02
3146,8,0.14
3147,181,3.16
3151,1,0.02
3153,3478,60.72
3155,186,3.25
3156,296,5.17
3158,14,0.24
3190,1,0.02
3193,6,0.1
3194,13,0.23
3211,36,0.63
3252,3,0.05
3301,1,0.02
3302,1,0.02
3340,4754,83.0
3341,44,0.77
3363,294,5.13
3364,612,10.68
3371,44,0.77
3373,2,0.03
3380,6,0.1
3383,1,0.02
3384,3,0.05
3508,123,2.15
3512,1,0.02
3513,9,0.16
3706,27,0.47
3711,2,0.03
3715,100,1.75
3742,345,6.02
3748,159,2.78
3751,3,0.05
3800,3,0.05
3801,4,0.07
3812,180,3.14
3814,70,1.22
