item,count,percentage
1001,527,8.8
1004,4,0.07
1011,5,0.08
1018,218,3.64
1026,14,0.23
1027,4,0.07
1028,132,2.2
1029,125,2.09
1031,1,0.02
1033,30,0.5
1036,851,14.21
1037,355,5.93
1038,978,16.33
1041,2,0.03
1042,333,5.56
1043,16,0.27
1051,121,2.02
1052,13,0.22
1053,741,12.37
1054,90,1.5
1055,2502,41.78
1056,119,1.99
1058,6,0.1
1082,2,0.03
1083,28,0.47
1400,2,0.03
1419,1,0.02
2003,154,2.57
2010,330,5.51
2015,182,3.04
2031,182,3.04
2032,2,0.03
2033,18,0.3
2045,3,0.05
2049,12,0.2
2055,129,2.15
2140,3,0.05
2301,70,1.17
2302,4,0.07
3003,1,0.02
3004,2,0.03
3006,3860,64.46
3009,494,8.25
3010,1,0.02
3020,30,0.5
3022,12,0.2
3025,1,0.02
3026,723,12.07
3027,1,0.02
3031,2278,38.04
3033,243,4.06
3034,83,1.39
3035,283,4.73
3036,723,12.07
3040,2,0.03
3041,3,0.05
3042,2,0.03
3044,288,4.81
3046,183,3.06
3047,305,5.09
3052,5,0.08
3053,5,0.08
3057,5,0.08
3065,1,0.02
3067,170,2.84
3069,1,0.02
3070,5,0.08
3071,1228,20.51
3072,954,15.93
3076,1,0.02
3078,13,0.22
3082,1,0.02
3085,100,1.67
3086,344,5.74
3087,595,9.94
3089,6,0.1
3091,4,0.07
3092,36,0.6
3094,1459,24.37
3096,2,0.03
3097,2,0.03
3098,17,0.28
3100,15,0.25
3101,3,0.05
3102,6,0.1
3105,1,0.02
3107,2,0.03
3108,6,0.1
3110,1,0.02
3111,107,1.79
3113,5,0.08
3114,1,0.02
3115,3,0.05
3116,21,0.35
3117,26,0.43
3123,114,1.9
3124,8,0.13
3133,358,5.98
3134,332,5.54
3135,6,0.1
3136,12,0.2
3139,49,0.82
3140,37,0.62
3142,2439,40.73
3143,2,0.03
3144,37,0.62
3145,1,0.02
3146,27,0.45
3147,2668,44.56
3151,29,0.48
3152,1,0.02
3153,108,1.8
3155,31,0.52
3156,55,0.92
3157,2,0.03
3158,177,2.96
3165,13,0.22
3190,1,0.02
3191,1,0.02
3211,2,0.03
3285,15,0.25
3301,3,0.05
3302,3,0.05
3303,9,0.15
3340,4593,76.7
3341,13,0.22
3363,1281,21.39
3364,90,1.5
3371,69,1.15
3374,1,0.02
3380,27,0.45
3384,1,0.02
3504,2,0.03
3508,1910,31.9
3512,1,0.02
3513,1,0.02
3742,4,0.07
3801,1,0.02
3802,3,0.05
3812,349,5.83
3814,230,3.84
