item,count,percentage
1001,490,8.56
1004,143,2.5
1006,30,0.52
1011,24,0.42
1026,654,11.43
1027,24,0.42
1028,228,3.98
1029,289,5.05
1031,21,0.37
1033,282,4.93
1036,1,0.02
1038,3,0.05
1039,1,0.02
1042,6,0.1
1043,1,0.02
1052,733,12.81
1053,2,0.03
1054,6,0.1
1055,3,0.05
1056,562,9.82
1057,22,0.38
1058,589,10.29
1082,92,1.61
1402,5,0.09
1410,2,0.03
1414,1,0.02
2003,65,1.14
2010,408,7.13
2015,2,0.03
2031,264,4.61
2032,8,0.14
2033,27,0.47
2045,481,8.4
2049,1534,26.8
2053,18,0.31
2055,423,7.39
2301,1047,18.29
2302,364,6.36
2303,2,0.03
3001,41,0.72
3003,19,0.33
3006,6,0.1
3009,128,2.24
3010,28,0.49
3020,1306,22.82
3024,77,1.35
3025,9,0.16
3026,6,0.1
3027,355,6.2
3028,38,0.66
3030,36,0.63
3031,4,0.07
3040,8,0.14
3041,50,0.87
3044,2,0.03
3046,1,0.02
3047,204,3.56
3050,308,5.38
3056,3,0.05
3057,6,0.1
3060,20,0.35
3065,15,0.26
3067,29,0.51
3068,4,0.07
3069,56,0.98
3070,26,0.45
3072,1,0.02
3075,19,0.33
3076,12,0.21
3078,3,0.05
3082,25,0.44
3083,12,0.21
3085,3,0.05
3086,2,0.03
3087,4,0.07
3089,679,11.86
3092,2511,43.88
3096,74,1.29
3098,342,5.98
3100,18,0.31
3101,5,0.09
3102,304,5.31
3105,281,4.91
3107,2098,36.66
3108,574,10.03
3109,58,1.01
3110,35,0.61
3111,244,4.26
3113,128,2.24
3114,259,4.53
3115,2,0.03
3116,379,6.62
3117,2406,42.04
3124,1,0.02
3135,147,2.57
3136,139,2.43
3139,1,0.02
3142,1,0.02
3143,21,0.37
3144,2,0.03
3145,10,0.17
3146,7,0.12
3151,435,7.6
3152,38,0.66
3153,1,0.02
3157,2771,48.42
3158,623,10.89
3165,630,11.01
3174,56,0.98
3190,711,12.42
3191,509,8.89
3193,7,0.12
3194,9,0.16
3211,14,0.24
3222,118,2.06
3285,379,6.62
3301,23,0.4
3303,200,3.49
3340,2738,47.84
3341,533,9.31
3363,259,4.53
3364,2170,37.92
3374,22,0.38
3379,1,0.02
3382,58,1.01
3383,14,0.24
3384,1,0.02
3401,2,0.03
3504,731,12.77
3508,2,0.03
3512,34,0.59
3513,1,0.02
3742,17,0.3
3751,2,0.03
3800,9,0.16
3801,224,3.91
3802,54,0.94
