item,count,percentage
1001,475,10.49
1004,339,7.49
1006,46,1.02
1011,16,0.35
1018,1,0.02
1026,157,3.47
1027,29,0.64
1028,218,4.82
1029,224,4.95
1031,25,0.55
1033,278,6.14
1036,2,0.04
1038,1,0.02
1042,1,0.02
1052,228,5.04
1055,4,0.09
1056,8,0.18
1057,16,0.35
1058,60,1.33
1082,38,0.84
1402,2,0.04
1410,1,0.02
1414,1,0.02
1416,1,0.02
1419,1,0.02
2003,10,0.22
2010,410,9.06
2031,185,4.09
2032,3,0.07
2033,6,0.13
2045,415,9.17
2049,1316,29.07
2053,25,0.55
2055,623,13.76
2139,3,0.07
2301,1175,25.96
2302,926,20.46
3001,10,0.22
3003,6,0.13
3006,7,0.15
3009,186,4.11
3010,6,0.13
3020,70,1.55
3024,99,2.19
3025,1,0.02
3026,6,0.13
3027,20,0.44
3028,182,4.02
3030,1,0.02
3031,5,0.11
3036,1,0.02
3040,8,0.18
3041,33,0.73
3044,1,0.02
3047,220,4.86
3050,123,2.72
3057,5,0.11
3060,13,0.29
3065,21,0.46
3067,35,0.77
3068,1,0.02
3069,215,4.75
3070,19,0.42
3072,2,0.04
3075,7,0.15
3076,7,0.15
3082,82,1.81
3083,13,0.29
3085,5,0.11
3086,3,0.07
3087,6,0.13
3089,26,0.57
3092,1081,23.88
3094,1,0.02
3096,234,5.17
3098,466,10.29
3100,8,0.18
3102,14,0.31
3105,419,9.26
3107,2622,57.92
3108,120,2.65
3109,71,1.57
3110,124,2.74
3111,189,4.17
3113,166,3.67
3114,668,14.76
3115,6,0.13
3116,257,5.68
3117,2358,52.09
3124,1,0.02
3135,5,0.11
3136,4,0.09
3139,2,0.04
3140,1,0.02
3143,19,0.42
3145,2,0.04
3146,1,0.02
3151,20,0.44
3152,2,0.04
3153,2,0.04
3155,1,0.02
3156,1,0.02
3157,17,0.38
3158,793,17.52
3165,80,1.77
3174,359,7.93
3190,1083,23.92
3191,8,0.18
3193,5,0.11
3194,2,0.04
3211,19,0.42
3222,327,7.22
3285,31,0.68
3301,94,2.08
3303,202,4.46
3340,1142,25.23
3341,419,9.26
3363,72,1.59
3364,2881,63.64
3371,1,0.02
3374,1,0.02
3379,1,0.02
3382,55,1.21
3383,15,0.33
3504,3106,68.61
3508,1,0.02
3512,25,0.55
3742,3,0.07
3751,1,0.02
3800,6,0.13
3801,349,7.71
3802,21,0.46
