item,count,percentage
1001,261,6.18
1006,30,0.71
1011,409,9.69
1018,6,0.14
1026,15,0.36
1027,39,0.92
1028,524,12.41
1029,463,10.96
1031,360,8.52
1033,147,3.48
1036,128,3.03
1037,4,0.09
1038,78,1.85
1041,3,0.07
1042,58,1.37
1052,9,0.21
1053,109,2.58
1054,1270,30.07
1055,40,0.95
1056,139,3.29
1057,65,1.54
1058,14,0.33
1082,18,0.43
1083,4,0.09
1400,5,0.12
1401,28,0.66
1408,1,0.02
1409,1,0.02
1412,3,0.07
1413,4,0.09
1416,2,0.05
1419,1,0.02
2003,110,2.6
2010,68,1.61
2015,1,0.02
2031,189,4.48
2032,6,0.14
2033,425,10.06
2045,4,0.09
2049,4,0.09
2053,37,0.88
2055,103,2.44
2138,1,0.02
2301,4,0.09
2302,2,0.05
2303,2,0.05
3001,38,0.9
3003,3,0.07
3004,2,0.05
3006,7,0.17
3009,200,4.74
3010,5,0.12
3020,37,0.88
3022,27,0.64
3024,321,7.6
3025,913,21.62
3026,63,1.49
3027,6,0.14
3028,6,0.14
3030,2,0.05
3031,20,0.47
3033,12,0.28
3034,1,0.02
3035,4,0.09
3036,4,0.09
3040,3,0.07
3041,2,0.05
3042,1,0.02
3044,161,3.81
3046,6,0.14
3047,1510,35.76
3050,7,0.17
3052,68,1.61
3053,54,1.28
3056,7,0.17
3057,389,9.21
3060,9,0.21
3065,2000,47.36
3067,416,9.85
3068,71,1.68
3069,4,0.09
3070,8,0.19
3071,27,0.64
3072,112,2.65
3074,4,0.09
3075,1081,25.6
3076,391,9.26
3077,55,1.3
3078,2527,59.84
3082,319,7.55
3083,123,2.91
3086,5,0.12
3087,11,0.26
3089,15,0.36
3092,12,0.28
3094,1,0.02
3096,6,0.14
3098,3,0.07
3100,24,0.57
3101,85,2.01
3102,10,0.24
3105,12,0.28
3107,2,0.05
3108,5,0.12
3109,22,0.52
3110,1381,32.7
3111,1884,44.61
3113,5,0.12
3116,19,0.45
3117,10,0.24
3123,9,0.21
3124,1,0.02
3133,19,0.45
3134,14,0.33
3135,8,0.19
3136,7,0.17
3139,15,0.36
3140,17,0.4
3142,24,0.57
3143,236,5.59
3144,4,0.09
3145,2,0.05
3146,5,0.12
3147,30,0.71
3151,30,0.71
3152,6,0.14
3153,16,0.38
3155,7,0.17
3156,17,0.4
3157,10,0.24
3158,79,1.87
3165,25,0.59
3174,3,0.07
3190,17,0.4
3191,1,0.02
3193,88,2.08
3194,88,2.08
3211,384,9.09
3285,48,1.14
3301,18,0.43
3303,2,0.05
3340,3790,89.75
3341,4,0.09
3363,279,6.61
3364,134,3.17
3373,2,0.05
3374,1,0.02
3379,1,0.02
3380,1,0.02
3384,37,0.88
3401,2,0.05
3504,3,0.07
3508,5,0.12
3512,141,3.34
3513,3,0.07
3742,932,22.07
3748,109,2.58
3751,14,0.33
3800,427,10.11
3801,61,1.44
3802,3,0.07
3812,46,1.09
3814,3,0.07
