item,count,percentage
1001,146,7.17
1004,20,0.98
1006,27,1.33
1011,139,6.83
1018,1,0.05
1026,20,0.98
1027,26,1.28
1028,297,14.59
1029,241,11.84
1031,254,12.48
1033,123,6.04
1037,1,0.05
1038,1,0.05
1039,8,0.39
1042,3,0.15
1043,3,0.15
1052,8,0.39
1054,76,3.73
1055,2,0.1
1056,80,3.93
1057,169,8.3
1058,3,0.15
1082,11,0.54
1401,85,4.18
1402,5,0.25
1409,143,7.03
1410,3,0.15
1413,21,1.03
1416,2,0.1
1419,3,0.15
2003,38,1.87
2010,117,5.75
2031,121,5.95
2032,12,0.59
2033,89,4.37
2045,308,15.14
2049,440,21.62
2053,12,0.59
2055,122,6.0
2301,1,0.05
2302,18,0.88
2303,307,15.09
3001,238,11.7
3006,5,0.25
3009,90,4.42
3010,78,3.83
3020,19,0.93
3022,7,0.34
3024,119,5.85
3025,79,3.88
3026,5,0.25
3027,48,2.36
3028,3,0.15
3030,4,0.2
3031,1,0.05
3041,3,0.15
3044,5,0.25
3046,1,0.05
3047,500,24.57
3050,37,1.82
3052,6,0.29
3053,1,0.05
3056,1,0.05
3057,14,0.69
3060,7,0.34
3065,122,6.0
3067,109,5.36
3068,570,28.01
3069,6,0.29
3071,4,0.2
3072,1,0.05
3075,212,10.42
3076,105,5.16
3077,5,0.25
3078,6,0.29
3082,138,6.78
3083,85,4.18
3087,3,0.15
3089,8,0.39
3091,6,0.29
3092,1,0.05
3096,2,0.1
3097,110,5.41
3100,6,0.29
3101,2,0.1
3102,13,0.64
3105,77,3.78
3107,142,6.98
3108,10,0.49
3109,180,8.85
3110,152,7.47
3111,376,18.48
3113,2,0.1
3114,15,0.74
3115,2,0.1
3116,9,0.44
3117,790,38.82
3124,1,0.05
3135,1,0.05
3136,7,0.34
3143,218,10.71
3145,2,0.1
3151,23,1.13
3152,21,1.03
3153,1,0.05
3157,3,0.15
3158,27,1.33
3165,5,0.25
3190,271,13.32
3191,4,0.2
3193,220,10.81
3194,97,4.77
3211,91,4.47
3222,5,0.25
3285,10,0.49
3301,3,0.15
3302,69,3.39
3303,1,0.05
3340,1065,52.33
3341,235,11.55
3363,54,2.65
3364,678,33.32
3373,6,0.29
3379,3,0.15
3382,1,0.05
3383,12,0.59
3401,847,41.62
3504,12,0.59
3512,50,2.46
3706,3,0.15
3711,2,0.1
3742,143,7.03
3748,7,0.34
3751,148,7.27
3800,240,11.79
3801,109,5.36
3802,1,0.05
