item,count,percentage
1001,113,6.92
1004,16,0.98
1011,12,0.74
1026,304,18.63
1027,29,1.78
1028,43,2.63
1029,59,3.62
1031,7,0.43
1033,47,2.88
1036,7,0.43
1038,2,0.12
1039,27,1.65
1041,3,0.18
1042,7,0.43
1043,2,0.12
1052,313,19.18
1053,3,0.18
1054,3,0.18
1055,13,0.8
1056,99,6.07
1057,8,0.49
1058,202,12.38
1082,105,6.43
1401,1,0.06
1402,200,12.25
1409,5,0.31
1410,467,28.62
1412,4,0.25
1413,9,0.55
1414,609,37.32
1416,1,0.06
1418,1,0.06
1419,1,0.06
2003,46,2.82
2010,23,1.41
2015,2,0.12
2031,334,20.47
2032,52,3.19
2033,3,0.18
2045,3,0.18
2049,13,0.8
2053,2,0.12
2055,75,4.6
2139,1,0.06
2301,11,0.67
2302,5,0.31
3001,27,1.65
3003,7,0.43
3004,1,0.06
3006,4,0.25
3009,10,0.61
3010,20,1.23
3020,376,23.04
3022,7,0.43
3024,14,0.86
3025,149,9.13
3026,7,0.43
3027,169,10.36
3028,31,1.9
3030,7,0.43
3031,1,0.06
3040,20,1.23
3041,21,1.29
3044,3,0.18
3047,217,13.3
3050,2,0.12
3052,5,0.31
3057,156,9.56
3065,38,2.33
3067,12,0.74
3068,7,0.43
3069,4,0.25
3070,16,0.98
3071,1,0.06
3074,1,0.06
3075,9,0.55
3076,5,0.31
3077,2,0.12
3078,38,2.33
3082,6,0.37
3085,1,0.06
3086,1,0.06
3087,4,0.25
3089,294,18.01
3091,1,0.06
3092,25,1.53
3094,1,0.06
3096,3,0.18
3098,17,1.04
3100,637,39.03
3102,82,5.02
3107,9,0.55
3108,149,9.13
3109,3,0.18
3110,1,0.06
3111,119,7.29
3113,127,7.78
3114,9,0.55
3116,64,3.92
3117,28,1.72
3123,1,0.06
3124,1,0.06
3133,1,0.06
3134,1,0.06
3135,245,15.01
3136,73,4.47
3139,1,0.06
3143,6,0.37
3144,5,0.31
3145,16,0.98
3146,18,1.1
3147,4,0.25
3151,138,8.46
3152,12,0.74
3153,16,0.98
3155,1,0.06
3157,334,20.47
3158,705,43.2
3165,144,8.82
3174,266,16.3
3190,4,0.25
3191,109,6.68
3193,2,0.12
3194,1,0.06
3211,18,1.1
3222,1,0.06
3285,96,5.88
3301,1,0.06
3302,2,0.12
3303,8,0.49
3340,1103,67.59
3341,46,2.82
3363,72,4.41
3364,408,25.0
3374,6,0.37
3504,62,3.8
3512,1,0.06
3513,1,0.06
3706,2,0.12
3711,7,0.43
3715,8,0.49
3742,14,0.86
3748,3,0.18
3801,6,0.37
3802,17,1.04
