item,count,percentage
1001,140,8.62
1004,1,0.06
1006,12,0.74
1011,106,6.52
1018,16,0.98
1026,1,0.06
1027,1,0.06
1028,98,6.03
1029,78,4.8
1031,76,4.68
1033,29,1.78
1036,271,16.68
1037,41,2.52
1038,92,5.66
1039,2,0.12
1041,50,3.08
1042,47,2.89
1043,47,2.89
1051,7,0.43
1053,97,5.97
1054,4,0.25
1055,18,1.11
1057,4,0.25
1400,475,29.23
1401,10,0.62
1408,5,0.31
1409,1,0.06
1412,359,22.09
1413,10,0.62
1416,446,27.45
1418,4,0.25
1419,108,6.65
2003,8,0.49
2010,2,0.12
2015,6,0.37
2031,515,31.69
2032,72,4.43
2033,20,1.23
2045,1,0.06
2055,42,2.58
2140,1,0.06
3006,124,7.63
3009,34,2.09
3022,114,7.02
3025,2,0.12
3026,255,15.69
3031,64,3.94
3033,16,0.98
3034,3,0.18
3035,5,0.31
3036,11,0.68
3041,1,0.06
3044,30,1.85
3046,44,2.71
3047,485,29.85
3052,70,4.31
3053,22,1.35
3057,6,0.37
3065,41,2.52
3067,33,2.03
3068,8,0.49
3069,1,0.06
3070,6,0.37
3071,156,9.6
3072,17,1.05
3074,198,12.18
3075,31,1.91
3076,13,0.8
3077,88,5.42
3078,27,1.66
3082,15,0.92
3083,6,0.37
3086,22,1.35
3087,124,7.63
3091,6,0.37
3094,1,0.06
3101,4,0.25
3102,1,0.06
3105,2,0.12
3108,2,0.12
3110,1,0.06
3111,571,35.14
3115,2,0.12
3117,40,2.46
3123,10,0.62
3124,2,0.12
3133,98,6.03
3134,150,9.23
3139,5,0.31
3140,2,0.12
3142,477,29.35
3143,34,2.09
3144,58,3.57
3146,1,0.06
3147,676,41.6
3153,449,27.63
3155,93,5.72
3156,117,7.2
3157,3,0.18
3158,138,8.49
3190,2,0.12
3193,7,0.43
3194,2,0.12
3211,19,1.17
3222,1,0.06
3252,2,0.12
3302,2,0.12
3340,1173,72.18
3341,13,0.8
3363,263,16.18
3364,170,10.46
3371,5,0.31
3380,4,0.25
3384,3,0.18
3508,4,0.25
3512,1,0.06
3513,2,0.12
3706,27,1.66
3715,11,0.68
3742,193,11.88
3748,107,6.58
3751,10,0.62
3800,1,0.06
3802,1,0.06
3812,33,2.03
3814,83,5.11
