item,count,percentage
1001,82,6.53
1004,3,0.24
1006,9,0.72
1011,107,8.52
1026,42,3.34
1027,11,0.88
1028,146,11.62
1029,124,9.87
1031,165,13.14
1033,80,6.37
1036,4,0.32
1038,1,0.08
1039,8,0.64
1041,3,0.24
1042,1,0.08
1043,1,0.08
1052,38,3.03
1053,1,0.08
1054,3,0.24
1055,1,0.08
1056,78,6.21
1057,63,5.02
1058,30,2.39
1082,15,1.19
1401,95,7.56
1402,33,2.63
1409,597,47.53
1410,20,1.59
1413,188,14.97
1414,10,0.8
1416,1,0.08
1418,1,0.08
2003,7,0.56
2010,7,0.56
2031,425,33.84
2032,34,2.71
2033,9,0.72
2045,8,0.64
2049,29,2.31
2053,1,0.08
2055,90,7.17
2301,7,0.56
2302,4,0.32
2303,29,2.31
3001,54,4.3
3006,1,0.08
3009,52,4.14
3010,14,1.11
3020,68,5.41
3024,63,5.02
3025,26,2.07
3027,57,4.54
3030,9,0.72
3041,3,0.24
3046,1,0.08
3047,684,54.46
3050,30,2.39
3052,6,0.48
3053,1,0.08
3056,1,0.08
3057,6,0.48
3060,7,0.56
3065,288,22.93
3067,112,8.92
3068,20,1.59
3069,6,0.48
3070,12,0.96
3075,127,10.11
3076,57,4.54
3077,19,1.51
3078,1,0.08
3082,73,5.81
3083,61,4.86
3086,1,0.08
3087,1,0.08
3089,45,3.58
3091,2,0.16
3092,13,1.04
3094,1,0.08
3096,6,0.48
3097,10,0.8
3098,4,0.32
3100,9,0.72
3102,19,1.51
3105,50,3.98
3107,38,3.03
3108,14,1.11
3109,238,18.95
3110,232,18.47
3111,230,18.31
3113,13,1.04
3114,5,0.4
3115,3,0.24
3116,23,1.83
3117,70,5.57
3124,1,0.08
3135,17,1.35
3136,18,1.43
3143,38,3.03
3144,2,0.16
3145,11,0.88
3146,3,0.24
3151,80,6.37
3152,37,2.95
3153,2,0.16
3157,18,1.43
3158,22,1.75
3165,29,2.31
3174,1,0.08
3190,217,17.28
3191,3,0.24
3193,140,11.15
3194,31,2.47
3211,79,6.29
3222,3,0.24
3285,45,3.58
3301,3,0.24
3302,11,0.88
3303,7,0.56
3340,708,56.37
3341,68,5.41
3363,23,1.83
3364,448,35.67
3373,1,0.08
3374,1,0.08
3383,3,0.24
3384,1,0.08
3401,30,2.39
3504,41,3.26
3512,16,1.27
3513,3,0.24
3706,3,0.24
3711,10,0.8
3715,4,0.32
3742,139,11.07
3748,21,1.67
3751,12,0.96
3800,80,6.37
3801,26,2.07
3802,4,0.32
