item,count,percentage
1001,82,5.41
1006,19,1.25
1011,172,11.35
1018,1,0.07
1027,6,0.4
1028,150,9.89
1029,138,9.1
1031,166,10.95
1033,47,3.1
1036,99,6.53
1037,19,1.25
1038,25,1.65
1039,13,0.86
1041,5,0.33
1042,22,1.45
1043,9,0.59
1051,4,0.26
1053,68,4.49
1054,77,5.08
1055,71,4.68
1056,1,0.07
1057,15,0.99
1400,23,1.52
1401,534,35.22
1409,24,1.58
1410,1,0.07
1412,20,1.32
1413,93,6.13
1416,7,0.46
1419,9,0.59
2003,9,0.59
2010,4,0.26
2015,1,0.07
2031,250,16.49
2032,36,2.37
2033,309,20.38
2045,1,0.07
2055,47,3.1
2303,1,0.07
3001,3,0.2
3006,26,1.72
3009,239,15.77
3022,38,2.51
3024,42,2.77
3025,5,0.33
3026,111,7.32
3031,9,0.59
3033,1,0.07
3034,1,0.07
3035,1,0.07
3044,58,3.83
3046,6,0.4
3047,572,37.73
3052,49,3.23
3053,21,1.39
3057,2,0.13
3065,557,36.74
3067,119,7.85
3068,41,2.7
3071,584,38.52
3072,16,1.06
3074,265,17.48
3075,156,10.29
3076,60,3.96
3077,109,7.19
3078,43,2.84
3082,64,4.22
3083,94,6.2
3086,5,0.33
3087,8,0.53
3091,3,0.2
3101,2,0.13
3105,1,0.07
3107,1,0.07
3109,20,1.32
3110,18,1.19
3111,224,14.78
3117,16,1.06
3123,6,0.4
3124,2,0.13
3133,42,2.77
3134,5,0.33
3139,2,0.13
3140,1,0.07
3142,21,1.39
3143,75,4.95
3144,26,1.72
3147,18,1.19
3153,69,4.55
3155,38,2.51
3156,88,5.8
3158,261,17.22
3190,18,1.19
3193,49,3.23
3194,21,1.39
3211,121,7.98
3340,1279,84.37
3341,14,0.92
3363,53,3.5
3364,165,10.88
3371,1,0.07
3373,2,0.13
3379,1,0.07
3380,4,0.26
3383,1,0.07
3384,4,0.26
3401,1,0.07
3508,1,0.07
3512,5,0.33
3706,7,0.46
3715,8,0.53
3742,397,26.19
3748,206,13.59
3751,13,0.86
3800,394,25.99
3801,54,3.56
3812,26,1.72
3814,1,0.07
