item,count,percentage
1001,298,4.72
1004,6,0.09
1006,1,0.02
1011,1,0.02
1018,2,0.03
1026,1539,24.37
1027,3,0.05
1028,78,1.23
1029,96,1.52
1033,165,2.61
1036,2,0.03
1037,3,0.05
1038,5,0.08
1042,6,0.09
1043,3,0.05
1052,1392,22.04
1053,2,0.03
1054,5,0.08
1055,6,0.09
1056,3729,59.04
1057,11,0.17
1058,1440,22.8
1082,243,3.85
1083,2,0.03
1402,8,0.13
1410,1,0.02
1414,3,0.05
1416,2,0.03
1419,3,0.05
2003,121,1.92
2010,304,4.81
2031,465,7.36
2032,4,0.06
2033,36,0.57
2045,8,0.13
2049,20,0.32
2053,1,0.02
2055,274,4.34
2139,3,0.05
2301,24,0.38
2302,8,0.13
3001,13,0.21
3003,11,0.17
3006,12,0.19
3009,9,0.14
3010,7,0.11
3020,5233,82.85
3022,1,0.02
3024,2,0.03
3026,2,0.03
3027,106,1.68
3028,9,0.14
3030,18,0.28
3031,1,0.02
3033,1,0.02
3040,27,0.43
3041,55,0.87
3047,131,2.07
3050,1,0.02
3052,1,0.02
3057,4,0.06
3065,2,0.03
3067,2,0.03
3069,10,0.16
3070,25,0.4
3071,1,0.02
3076,1,0.02
3078,2,0.03
3082,2,0.03
3085,4,0.06
3086,3,0.05
3087,2,0.03
3089,1691,26.77
3091,1,0.02
3092,47,0.74
3094,2,0.03
3096,8,0.13
3098,11,0.17
3100,10,0.16
3101,4,0.06
3102,771,12.21
3105,3,0.05
3107,16,0.25
3108,518,8.2
3109,2,0.03
3110,1,0.02
3111,298,4.72
3113,524,8.3
3114,7,0.11
3115,27,0.43
3116,308,4.88
3117,10,0.16
3124,7,0.11
3133,1,0.02
3134,1,0.02
3135,1462,23.15
3136,262,4.15
3139,2,0.03
3140,13,0.21
3143,1,0.02
3144,3,0.05
3145,3,0.05
3146,4,0.06
3151,904,14.31
3152,2,0.03
3153,5,0.08
3156,1,0.02
3157,1747,27.66
3158,105,1.66
3165,5739,90.86
3174,111,1.76
3190,7,0.11
3191,406,6.43
3194,6,0.09
3211,2,0.03
3222,6,0.09
3285,2751,43.56
3301,4,0.06
3303,7,0.11
3340,4460,70.61
3341,10,0.16
3363,1567,24.81
3364,268,4.24
3374,63,1.0
3379,2,0.03
3504,48,0.76
3513,1,0.02
3800,2,0.03
3801,3,0.05
3802,163,2.58
