item,count,percentage
1001,366,8.02
1004,13,0.28
1006,69,1.51
1011,303,6.64
1018,3,0.07
1027,119,2.61
1028,607,13.29
1029,436,9.55
1031,321,7.03
1033,226,4.95
1036,76,1.66
1037,10,0.22
1038,7,0.15
1039,26,0.57
1041,3,0.07
1042,20,0.44
1043,3,0.07
1051,1,0.02
1053,7,0.15
1054,346,7.58
1055,10,0.22
1056,15,0.33
1057,310,6.79
1058,1,0.02
1082,3,0.07
1083,2,0.04
1400,32,0.7
1401,730,15.99
1402,5,0.11
1409,69,1.51
1412,2,0.04
1413,81,1.77
1416,5,0.11
1419,1,0.02
2003,40,0.88
2010,58,1.27
2015,3,0.07
2031,484,10.6
2032,117,2.56
2033,1303,28.54
2045,98,2.15
2049,209,4.58
2053,21,0.46
2055,183,4.01
2302,32,0.7
2303,308,6.75
3001,1232,26.98
3004,3,0.07
3006,9,0.2
3009,126,2.76
3010,356,7.8
3020,5,0.11
3022,31,0.68
3024,284,6.22
3025,617,13.51
3026,4,0.09
3027,6,0.13
3028,1,0.02
3030,2,0.04
3031,15,0.33
3033,1,0.02
3042,2,0.04
3044,90,1.97
3046,6,0.13
3047,2550,55.85
3050,23,0.5
3052,34,0.74
3053,25,0.55
3057,133,2.91
3060,5,0.11
3065,237,5.19
3067,316,6.92
3068,1555,34.06
3069,35,0.77
3070,17,0.37
3071,134,2.93
3072,1,0.02
3074,1,0.02
3075,872,19.1
3076,445,9.75
3077,34,0.74
3078,111,2.43
3082,260,5.69
3083,736,16.12
3086,5,0.11
3087,7,0.15
3089,1,0.02
3091,2,0.04
3092,1,0.02
3096,14,0.31
3097,97,2.12
3098,3,0.07
3100,1,0.02
3101,18,0.39
3105,91,1.99
3107,82,1.8
3108,1,0.02
3109,316,6.92
3110,379,8.3
3111,1068,23.39
3113,1,0.02
3114,17,0.37
3116,2,0.04
3117,141,3.09
3123,4,0.09
3124,1,0.02
3133,3,0.07
3134,1,0.02
3140,2,0.04
3142,4,0.09
3143,153,3.35
3144,3,0.07
3146,2,0.04
3147,3,0.07
3151,11,0.24
3152,1,0.02
3153,5,0.11
3155,1,0.02
3156,6,0.13
3157,2,0.04
3158,40,0.88
3190,193,4.23
3191,1,0.02
3193,131,2.87
3194,283,6.2
3211,189,4.14
3222,4,0.09
3285,1,0.02
3301,3,0.07
3302,67,1.47
3303,9,0.2
3340,3587,78.56
3341,125,2.74
3363,195,4.27
3364,649,14.21
3371,15,0.33
3373,806,17.65
3379,314,6.88
3380,88,1.93
3382,79,1.73
3383,264,5.78
3384,116,2.54
3401,337,7.38
3504,15,0.33
3512,39,0.85
3513,3,0.07
3706,9,0.2
3711,1,0.02
3742,119,2.61
3748,87,1.91
3751,273,5.98
3800,493,10.8
3801,248,5.43
3812,1,0.02
3814,1,0.02
