item,count,percentage
1001,205,8.02
1004,4,0.16
1006,14,0.55
1011,139,5.44
1018,2,0.08
1027,9,0.35
1028,176,6.89
1029,216,8.45
1031,145,5.68
1033,76,2.97
1036,415,16.24
1037,70,2.74
1038,144,5.64
1039,9,0.35
1041,2,0.08
1042,7,0.27
1043,1,0.04
1053,135,5.28
1054,23,0.9
1055,55,2.15
1056,8,0.31
1057,13,0.51
1082,1,0.04
1083,1,0.04
1400,360,14.09
1401,7,0.27
1402,1,0.04
1408,7,0.27
1409,1,0.04
1412,53,2.07
1413,6,0.23
1416,1,0.04
1419,1,0.04
2003,20,0.78
2010,11,0.43
2015,2,0.08
2031,129,5.05
2032,29,1.14
2033,996,38.98
2045,2,0.08
2049,6,0.23
2053,3,0.12
2055,70,2.74
2138,1,0.04
2303,15,0.59
3001,1,0.04
3004,7,0.27
3006,17,0.67
3009,86,3.37
3010,2,0.08
3020,5,0.2
3022,18,0.7
3024,4,0.16
3025,5,0.2
3026,490,19.18
3031,25,0.98
3033,51,2.0
3034,2,0.08
3035,27,1.06
3036,41,1.6
3041,1,0.04
3042,4,0.16
3044,215,8.41
3046,12,0.47
3047,871,34.09
3052,25,0.98
3053,37,1.45
3057,6,0.23
3065,40,1.57
3067,173,6.77
3068,19,0.74
3069,2,0.08
3070,2,0.08
3071,1468,57.46
3072,17,0.67
3074,86,3.37
3075,63,2.47
3076,23,0.9
3077,48,1.88
3078,21,0.82
3082,28,1.1
3083,17,0.67
3086,3,0.12
3087,10,0.39
3089,3,0.12
3091,1,0.04
3096,1,0.04
3097,6,0.23
3100,2,0.08
3101,4,0.16
3105,6,0.23
3107,2,0.08
3108,2,0.08
3109,8,0.31
3110,10,0.39
3111,909,35.58
3113,1,0.04
3114,1,0.04
3116,1,0.04
3117,233,9.12
3123,28,1.1
3124,2,0.08
3133,243,9.51
3134,267,10.45
3136,2,0.08
3139,10,0.39
3140,9,0.35
3142,1600,62.62
3143,55,2.15
3144,6,0.23
3146,4,0.16
3147,1030,40.31
3153,7,0.27
3155,213,8.34
3156,328,12.84
3158,112,4.38
3174,1,0.04
3190,5,0.2
3191,1,0.04
3193,12,0.47
3194,14,0.55
3211,31,1.21
3285,2,0.08
3301,1,0.04
3302,7,0.27
3340,2126,83.21
3341,20,0.78
3363,244,9.55
3364,161,6.3
3373,1,0.04
3380,18,0.7
3384,1,0.04
3401,12,0.47
3504,1,0.04
3508,5,0.2
3512,9,0.35
3513,1,0.04
3706,15,0.59
3715,4,0.16
3742,380,14.87
3748,46,1.8
3751,11,0.43
3800,2,0.08
3801,4,0.16
3812,286,11.19
3814,152,5.95
